prop,candidate,n_settled,n_clusters,date_min,date_max,model_logloss,market_logloss,model_brier,market_brier,logloss_delta,brier_delta,model_auc,market_auc,auc_delta,logloss_delta_ci_low,logloss_delta_ci_high,logloss_delta_p_one_sided,brier_delta_ci_low,brier_delta_ci_high,brier_delta_p_one_sided,auc_delta_ci_low,auc_delta_ci_high,auc_delta_p_one_sided,logloss_delta_p_holm,brier_delta_p_holm,auc_delta_p_holm,gate_logloss,gate_brier,gate_auc,market_superiority_gate
ast,production,176,10,2026-07-10 00:00:00,2026-07-22 00:00:00,0.7078638692299429,0.6788641136104756,0.2537901290938497,0.2429496824733512,0.028999755619467327,0.01084044662049849,0.5601469237832875,0.5876295421749967,-0.02748261839170929,,,,,,,,,,,,,False,False,False,INSUFFICIENT
fg3m,production,164,10,2026-07-10 00:00:00,2026-07-22 00:00:00,0.7351905597719612,0.6459723882003616,0.2538655266937456,0.22689192953404258,0.08921817157159961,0.026973597159703044,0.5714069362411025,0.6719672875965471,-0.10056035135544461,,,,,,,,,,,,,False,False,False,INSUFFICIENT
pts,production,255,10,2026-07-10 00:00:00,2026-07-22 00:00:00,0.7937826413276252,0.692457244663855,0.27520667374105356,0.24965546883461992,0.10132539666377016,0.025551204906433644,0.530634842519685,0.5209461122047243,0.009688730314960647,,,,,,,,,,,,,False,False,False,INSUFFICIENT
reb,production,228,10,2026-07-10 00:00:00,2026-07-22 00:00:00,0.7825726242171579,0.6795930864928799,0.27088983345605294,0.24324124876767292,0.10297953772427804,0.027648584688380023,0.5329708737864077,0.5876893203883495,-0.054718446601941806,,,,,,,,,,,,,False,False,False,INSUFFICIENT
