prop,candidate,n_settled,n_clusters,date_min,date_max,model_logloss,market_logloss,model_brier,market_brier,logloss_delta,brier_delta,model_auc,market_auc,auc_delta
ast,production,284,20,2026-06-26 00:00:00,2026-07-22 00:00:00,0.7331742353685221,0.6801176367445771,0.24938751870572487,0.2435948700096449,0.05305659862394496,0.005792648696079983,0.5439074887643287,0.5752916224814423,-0.03138413371711357
fg3m,production,278,20,2026-06-26 00:00:00,2026-07-22 00:00:00,0.7846726529229837,0.6474697073658127,0.25141157233821876,0.22790431455949178,0.13720294555717105,0.023507257778726975,0.5358131119625372,0.6631013197105151,-0.1272882077479779
pts,production,425,20,2026-06-26 00:00:00,2026-07-22 00:00:00,0.7420587062295003,0.6937102643958564,0.25961219198293967,0.25028361282375083,0.04834844183364395,0.009328579159188832,0.46751657544609077,0.5012570640323945,-0.033740488586303685
reb,production,382,20,2026-06-26 00:00:00,2026-07-22 00:00:00,0.7265141435232687,0.6770136482063199,0.26374016474699075,0.24199067168593819,0.04950049531694878,0.02174949306105256,0.47304400473346725,0.6070534166276799,-0.13400941189421262
