prop,candidate,n,n_dates,cand_logloss,cand_brier,cand_ece,cand_auc,market_logloss,market_brier,market_ece,market_auc,logloss_delta_vs_market,brier_delta_vs_market,advances,status
pts,C0_identity,1128,25.0,0.8604902267841931,0.3005063557252268,0.19572682704680008,0.4561109148710703,0.6946999926491044,0.25077194193125,0.029424107164954274,0.492071201493667,0.16579023413508864,0.049734413793976806,False,EVALUATED
pts,C1_platt,1128,25.0,0.6918713465181972,0.24936762735423942,0.025265998095961032,0.507187641923601,0.6946999926491044,0.25077194193125,0.029424107164954274,0.492071201493667,-0.0028286461309072752,-0.0014043145770105958,True,EVALUATED
pts,C2_beta,1128,25.0,0.692361042776525,0.24966447636578043,0.032948789022813195,0.5130506635716809,0.6946999926491044,0.25077194193125,0.029424107164954274,0.492071201493667,-0.002338949872579432,-0.0011074655654695897,True,EVALUATED
pts,C3_isotonic,1128,25.0,0.7652790339423833,0.2575689754336322,0.020179563551182222,0.441103282535197,0.6946999926491044,0.25077194193125,0.029424107164954274,0.492071201493667,0.07057904129327885,0.006797033502382199,False,EVALUATED
pts,C4_blend,1128,25.0,0.6954732452079503,0.251158062971285,0.03212100264575859,0.4781090730181158,0.6946999926491044,0.25077194193125,0.029424107164954274,0.492071201493667,0.0007732525588458605,0.00038612104003499237,False,EVALUATED
pts,C5_role_blend,1128,25.0,0.6987233030318103,0.25274780950458003,0.062118747270363366,0.45530352727456225,0.6946999926491044,0.25077194193125,0.029424107164954274,0.492071201493667,0.004023310382705869,0.0019758675733300146,False,EVALUATED
pts,C6_market_residual,1128,25.0,0.6940134257794688,0.25043700036470085,0.032618434778133636,0.4829912448907504,0.6946999926491044,0.25077194193125,0.029424107164954274,0.492071201493667,-0.0006865668696356408,-0.00033494156654917395,True,EVALUATED
reb,C0_identity,914,25.0,0.8008877553652857,0.2817195119960488,0.16257786275423175,0.5239952460646633,0.6856868282076664,0.24628604620878625,0.050689149868981806,0.5625045477697738,0.11520092715761932,0.03543346578726253,False,EVALUATED
reb,C1_platt,914,25.0,0.6877662984498194,0.24728534559628848,0.010922388575864118,0.4984210143345703,0.6856868282076664,0.24628604620878625,0.050689149868981806,0.5625045477697738,0.0020794702421530475,0.0009992993875022338,False,EVALUATED
reb,C2_beta,914,25.0,0.6903836408696294,0.24823097486334375,0.005430627288721885,0.4686798127531592,0.6856868282076664,0.24628604620878625,0.050689149868981806,0.5625045477697738,0.00469681266196309,0.001944928654557504,False,EVALUATED
