event_id,player_name,player_id,player_id_resolved,market_key,is_alternate_market,line,side,bookmaker,displayed_odds,reference_p,consensus_p_over,consensus_n_books,consensus_includes_sharp,consensus_dispersion_stdev,self_excluded,theoretical_ev_pct,executable_ev_pct,price_survived_30s,price_survived_60s,quote_age_seconds,provider_timestamp,scan_timestamp,validation_status,actionable,rejection_reason,warning_reason,source_type
e4dc370d08264200533bf3816f82c622,Michaela Onyenwere,615,True,player_points,False,9.5,over,hardrockbet,105.0,0.505384,0.505384,7,True,0.018409,True,3.6037,,,,53.396559,2026-07-28T20:14:52Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
606c87e74c7cc6048113e44a4f33506f,A'ja Wilson,535,True,player_assists,False,3.5,over,betonlineag,139.0,0.433116,0.433116,6,False,0.023817,True,3.5146,,,,18.396559,2026-07-28T20:15:27Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
c2e520af9bd7e828a76959862d941068,Awa Fam,67076,True,player_points,False,12.5,under,draftkings,-108.0,0.536636,0.463364,6,False,0.017236,True,3.3522,,,,26.396559,2026-07-28T20:15:19Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
fa632e2d144f67960024500509077a4a,Rae Burrell,640,True,player_points,False,14.5,over,hardrockbet,-105.0,0.527965,0.527965,7,True,0.017733,True,3.0788,,,,29.396559,2026-07-28T20:15:16Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
e4dc370d08264200533bf3816f82c622,Olivia Nelson-Ododa,641,True,player_rebounds,False,6.5,under,betparx,-121.0,0.56383,0.43617,5,False,0.008718,True,2.9805,,,,48.396559,2026-07-28T20:14:57Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
606c87e74c7cc6048113e44a4f33506f,A'ja Wilson,535,True,player_assists,False,3.5,under,fanduel,-132.0,0.58144,0.41856,6,True,0.021789,True,2.1925,,,,32.396559,2026-07-28T20:15:13Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
786c1161bd8d7bbab01efa2e850df8bb,Isabelle Harrison,455,True,player_points,False,11.5,under,betonlineag,-109.0,0.531136,0.468864,7,False,0.017756,True,1.8418,,,,38.396559,2026-07-28T20:15:07Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
fa632e2d144f67960024500509077a4a,Nneka Ogwumike,309,True,player_rebounds,False,8.5,under,draftkings,107.0,0.491263,0.508737,7,True,0.022164,True,1.6913,,,,132.396559,2026-07-28T20:13:33Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
fa632e2d144f67960024500509077a4a,Rae Burrell,640,True,player_points,False,15.5,over,betparx,112.0,0.479296,0.479296,1,False,0.0,True,1.6108,,,,16.396559,2026-07-28T20:15:29Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,insufficient_consensus_books,MARKET_DISLOCATION
786c1161bd8d7bbab01efa2e850df8bb,Isabelle Harrison,455,True,player_assists,False,1.5,over,betonlineag,-130.0,0.573311,0.573311,3,False,0.020797,True,1.432,,,,38.396559,2026-07-28T20:15:07Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
786c1161bd8d7bbab01efa2e850df8bb,Isabelle Harrison,455,True,player_assists,False,1.5,over,rebet,-130.0,0.573311,0.573311,3,True,0.019631,True,1.432,,,,61.396559,2026-07-28T20:14:44Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
786c1161bd8d7bbab01efa2e850df8bb,Isabelle Harrison,455,True,player_points,False,11.5,under,rebet,-110.0,0.531136,0.468864,7,True,0.017783,True,1.3988,,,,61.396559,2026-07-28T20:14:44Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
fa632e2d144f67960024500509077a4a,Jonquel Jones,465,True,player_points,False,14.5,over,betonlineag,-105.0,0.518408,0.518408,6,False,0.01544,True,1.2131,,,,12.396559,2026-07-28T20:15:33Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
c2e520af9bd7e828a76959862d941068,Kelsey Mitchell,533,True,player_assists,False,2.5,under,betparx,-118.0,0.547433,0.452567,5,True,0.020295,True,1.1359,,,,53.396559,2026-07-28T20:14:52Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
e4dc370d08264200533bf3816f82c622,Michaela Onyenwere,615,True,player_points,False,9.5,over,betparx,100.0,0.505384,0.505384,7,True,0.018141,True,1.0768,,,,48.396559,2026-07-28T20:14:57Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
fa632e2d144f67960024500509077a4a,Rae Burrell,640,True,player_points,False,15.5,under,fliff,-130.0,0.571101,0.428899,1,False,0.0,True,1.0409,,,,11.396559,2026-07-28T20:15:34Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,insufficient_consensus_books,MARKET_DISLOCATION
606c87e74c7cc6048113e44a4f33506f,Carla Leite,748,True,player_points,False,15.5,over,betparx,102.0,0.5,0.5,8,True,0.011794,True,1.0,,,,107.396559,2026-07-28T20:13:58Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
786c1161bd8d7bbab01efa2e850df8bb,Marina Mabrey,569,True,player_points,False,20.5,over,espnbet,105.0,0.492444,0.492444,6,True,0.017868,True,0.951,,,,25.396559,2026-07-28T20:15:20Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
606c87e74c7cc6048113e44a4f33506f,A'ja Wilson,535,True,player_assists,False,3.5,over,rebet,133.0,0.433116,0.433116,6,True,0.025698,True,0.9159,,,,42.396559,2026-07-28T20:15:03Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
606c87e74c7cc6048113e44a4f33506f,A'ja Wilson,535,True,player_rebounds,False,9.5,over,betonlineag,100.0,0.504288,0.504288,6,False,0.014864,True,0.8576,,,,18.396559,2026-07-28T20:15:27Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
fa632e2d144f67960024500509077a4a,Nneka Ogwumike,309,True,player_rebounds,False,8.5,under,williamhill_us,105.0,0.491263,0.508737,7,True,0.023562,True,0.7088,,,,83.396559,2026-07-28T20:14:22Z,2026-07-28T20:15:45.396559+00:00,PENDING_VALIDATION,False,,,MARKET_DISLOCATION
