prop,stage,n,n_folds,model_logloss,market_logloss,logloss_delta,model_brier,market_brier,brier_delta,model_auc,market_auc,model_ece,market_ece,worst_fold_logloss_delta,monotone
pts,BEFORE_P0,626,14,0.7797356449606375,0.6920418443579266,0.08769380060271093,0.2794006070042317,0.24944983052825373,0.029950776475977964,0.48745772410058336,0.5264026402640265,0.14928832470431483,0.014467425575986584,0.22490396489235998,True
pts,DIAGNOSTIC_AFTER_dednp_platt,626,14,0.6951583569175018,0.6920418443579266,0.003116512559575235,0.2509960391785437,0.24944983052825373,0.0015462086502899541,0.5041535113263649,0.5264026402640265,0.027483019131393744,0.014467425575986584,0.03195754650122773,False
reb,BEFORE_P0,552,14,0.7605700958613272,0.6818834058272984,0.07868669003402873,0.2700229942226589,0.24440352279477506,0.025619471427883844,0.55078125,0.5911568306587838,0.13404000567424923,0.02972777217011185,0.34624219714842286,True
reb,DIAGNOSTIC_AFTER_dednp_platt,552,14,0.6874008329267909,0.6818834058272984,0.0055174270994924335,0.24705458116184492,0.24440352279477506,0.0026510583670698584,0.5479835304054054,0.5911568306587838,0.015654980118452795,0.02972777217011185,0.038322389212066765,True
ast,BEFORE_P0,398,14,0.7445654576221942,0.690334361848296,0.054231095773898175,0.2656692351005854,0.24860926740507355,0.017059967695511824,0.5253378378378378,0.5397087428337428,0.12861684419775443,0.05808801790498928,0.18954698847485818,True
ast,DIAGNOSTIC_AFTER_dednp_platt,398,14,0.6884625328471766,0.690334361848296,-0.001871829001119374,0.2476807146005929,0.24860926740507355,-0.0009285528044806479,0.5080364455364456,0.5397087428337428,0.01934448102044011,0.05808801790498928,0.032262121494543106,True
fg3m,BEFORE_P0,378,14,0.7726004137515324,0.6610541760138181,0.11154623773771433,0.2701822043016314,0.23446165328978272,0.035720551011848706,0.5473981900452489,0.6329044117647059,0.12892679352678874,0.029281005611023186,0.32316024895896667,True
fg3m,DIAGNOSTIC_AFTER_dednp_platt,378,14,0.6948922170170204,0.6610541760138181,0.03383804100320231,0.25016244530784304,0.23446165328978272,0.015700792018060322,0.5315893665158371,0.6329044117647059,0.036584240868508214,0.029281005611023186,0.12996074002965885,True
