prop,n,dates,A0_P0_log_loss,A7_OPP_V2_log_loss,market_log_loss,delta_LL_vs_P0,delta_LL_vs_market,delta_Brier_vs_market,A7_AUC,market_AUC,P0_AUC,ci95_dLL_vs_market,holm_p_vs_market,beats_P0,market_superiority_pass
fg3m,498,55,0.76809,0.67583,0.66542,-0.09226,0.01042,0.00428,0.5929,0.6183,0.5637,"[-0.013910086461469264, 0.035627535349768015]",1.0,True,False
pts,845,55,0.80446,0.78168,0.6929,-0.02278,0.08878,0.03373,0.5034,0.518,0.4805,"[0.05697530771772624, 0.12350937829014409]",1.0,True,False
