gameId,season,reason
1022100097,2021,season_not_in_canonical_box(2025-2026 only)
1022100098,2021,season_not_in_canonical_box(2025-2026 only)
1022100099,2021,season_not_in_canonical_box(2025-2026 only)
1022100100,2021,season_not_in_canonical_box(2025-2026 only)
1022100101,2021,season_not_in_canonical_box(2025-2026 only)
1022100102,2021,season_not_in_canonical_box(2025-2026 only)
1022100103,2021,season_not_in_canonical_box(2025-2026 only)
1022100104,2021,season_not_in_canonical_box(2025-2026 only)
1022100105,2021,season_not_in_canonical_box(2025-2026 only)
1022100106,2021,season_not_in_canonical_box(2025-2026 only)
1022100107,2021,season_not_in_canonical_box(2025-2026 only)
1022100108,2021,season_not_in_canonical_box(2025-2026 only)
1022100109,2021,season_not_in_canonical_box(2025-2026 only)
1022100110,2021,season_not_in_canonical_box(2025-2026 only)
1022100111,2021,season_not_in_canonical_box(2025-2026 only)
1022100112,2021,season_not_in_canonical_box(2025-2026 only)
1022100113,2021,season_not_in_canonical_box(2025-2026 only)
1022100114,2021,season_not_in_canonical_box(2025-2026 only)
1022100115,2021,season_not_in_canonical_box(2025-2026 only)
1022100116,2021,season_not_in_canonical_box(2025-2026 only)
1022100117,2021,season_not_in_canonical_box(2025-2026 only)
1022100118,2021,season_not_in_canonical_box(2025-2026 only)
1022100119,2021,season_not_in_canonical_box(2025-2026 only)
1022100120,2021,season_not_in_canonical_box(2025-2026 only)
1022100121,2021,season_not_in_canonical_box(2025-2026 only)
1022100122,2021,season_not_in_canonical_box(2025-2026 only)
1022100123,2021,season_not_in_canonical_box(2025-2026 only)
1022100124,2021,season_not_in_canonical_box(2025-2026 only)
1022100125,2021,season_not_in_canonical_box(2025-2026 only)
1022100126,2021,season_not_in_canonical_box(2025-2026 only)
1022100127,2021,season_not_in_canonical_box(2025-2026 only)
1022100128,2021,season_not_in_canonical_box(2025-2026 only)
1022100129,2021,season_not_in_canonical_box(2025-2026 only)
1022100130,2021,season_not_in_canonical_box(2025-2026 only)
1022100131,2021,season_not_in_canonical_box(2025-2026 only)
1022100132,2021,season_not_in_canonical_box(2025-2026 only)
1022100133,2021,season_not_in_canonical_box(2025-2026 only)
1022100134,2021,season_not_in_canonical_box(2025-2026 only)
1022100135,2021,season_not_in_canonical_box(2025-2026 only)
1022100136,2021,season_not_in_canonical_box(2025-2026 only)
1022100137,2021,season_not_in_canonical_box(2025-2026 only)
1022100138,2021,season_not_in_canonical_box(2025-2026 only)
1022100139,2021,season_not_in_canonical_box(2025-2026 only)
1022100140,2021,season_not_in_canonical_box(2025-2026 only)
1022100141,2021,season_not_in_canonical_box(2025-2026 only)
