stat,fold,nll
ast,v5_2024_h2,1.6925047222549503
blk,v5_2024_h1,0.8140628273523022
fg3m,v5_2025_h1,1.1383833906691678
pts,v5_2025_h1,2.9730057397005254
reb,v5_2025_h1,2.1097412382228056
stl,v5_2024_h1,1.1947111414893004
turnover,v5_2025_h1,1.5058511723584058
