player_id,player_name,game_id,availability_status,source,source_timestamp,ingestion_timestamp,forecast_timestamp,freshness,participation_probability,role_minutes_status,missing_data_indicators,injury_comment
419,Betnijah Laney-Hamilton,24970,available_absent_from_injury_feed,none,,,20260801T162447Z,missing,0.41420118343195267,7.969316603901913,,
626,DiJonai Carrington,24969,available_absent_from_injury_feed,none,,,20260801T162447Z,missing,0.8333333333333334,5.884604931652714,,
747,Kyara Linskens,24970,available_absent_from_injury_feed,none,,,20260801T162447Z,missing,0.8333333333333334,6.989304123955595,,
67054,Saylor Poffenbarger,24969,available_absent_from_injury_feed,none,,,20260801T162447Z,missing,0.5066666666666667,4.629143025009136,,
242,DeWanna Bonner,24970,available_absent_from_injury_feed,none,,,20260801T162447Z,missing,0.04790419161676647,29.573825890622985,,
285,Courtney Vandersloot,24969,available_absent_from_injury_feed,none,,,20260801T162447Z,missing,0.08333333333333333,20.24949779021453,,
346,Skylar Diggins,24969,out,bdl_player_injuries,2026-08-01T16:26:47.680221+00:00,2026-08-01T16:26:47.680221+00:00,20260801T162447Z,current_feed,0.9487179487179487,0.0,OUT_NOT_PRICED_OK,"Jul 27: Head coach Tyler Marsh said Monday that Diggins (knee) is considered week-to-week, per Chicago State of Mind Sports."
373,Alyssa Thomas,24970,available_absent_from_injury_feed,none,,,20260801T162447Z,missing,0.02097902097902098,32.0,,
408,Natasha Cloud,24969,available_absent_from_injury_feed,none,,,20260801T162447Z,missing,0.045454545454545456,30.98751947242422,,
409,Elizabeth Williams,24969,available_absent_from_injury_feed,none,,,20260801T162447Z,missing,0.023474178403755867,19.178452474779665,,
410,Chelsea Gray,24969,available_absent_from_injury_feed,none,,,20260801T162447Z,missing,0.018421052631578946,35.20203595427076,,
418,Cheyenne Parker-Tyus,24969,out,bdl_player_injuries,2026-08-01T16:26:47.680221+00:00,2026-08-01T16:26:47.680221+00:00,20260801T162447Z,current_feed,0.9487179487179487,0.0,OUT_NOT_PRICED_OK,Jul 31: Parker-Tyus (not with team) has been ruled out for Saturday's game against the Sky.
424,Rebecca Allen,24970,available_absent_from_injury_feed,none,,,20260801T162447Z,missing,0.04790419161676647,22.933405002996956,,
437,Jewell Loyd,24969,available_absent_from_injury_feed,none,,,20260801T162447Z,missing,0.023474178403755867,27.718217517506652,,
448,Valeriane Ayayi,24970,available_absent_from_injury_feed,none,,,20260801T162447Z,missing,0.21935483870967742,20.339778390648824,,
