game_id,player_id,stat,line,status,vendor
24969,408,fg3m,1.5,UNKNOWN,fanduel
24970,765,reb,2.5,UNKNOWN,betonlineag
24970,765,fg3m,1.5,UNKNOWN,betonlineag
24969,67033,ast,2.5,UNKNOWN,betonlineag
24970,462,ast,2.5,UNKNOWN,pinnacle
24970,242,fg3m,1.5,UNKNOWN,fanduel
24969,570,fg3m,2.5,UNKNOWN,fanduel
24969,67033,fg3m,2.5,UNKNOWN,draftkings
24970,765,ast,2.5,UNKNOWN,betonlineag
24969,409,reb,4.5,UNKNOWN,betonlineag
24969,408,reb,3.5,UNKNOWN,fanduel
24969,67033,reb,2.5,UNKNOWN,betonlineag
24969,285,reb,2.5,UNKNOWN,betonlineag
24970,66925,ast,3.5,UNKNOWN,draftkings
24970,591,reb,4.5,UNKNOWN,betonlineag
24970,468,ast,3.5,UNKNOWN,betonlineag
24970,424,fg3m,1.5,UNKNOWN,betonlineag
24970,424,pts,6.5,UNKNOWN,betonlineag
24969,726,ast,2.5,UNKNOWN,draftkings
24970,468,reb,8.5,UNKNOWN,pinnacle
24970,462,reb_ast,6.5,UNKNOWN,fanduel
24969,285,ast,4.5,UNKNOWN,draftkings
24969,535,ast,3.5,UNKNOWN,betonlineag
24969,726,pts,15.5,UNKNOWN,betonlineag
24969,645,pts,10.5,UNKNOWN,betonlineag
24970,242,pts,10.5,UNKNOWN,pinnacle
24969,535,reb,10.5,UNKNOWN,fanduel
24969,408,pts,10.5,UNKNOWN,betonlineag
24970,373,reb,7.5,UNKNOWN,pinnacle
24970,465,ast,2.5,UNKNOWN,betonlineag
24969,726,reb_ast,10.5,UNKNOWN,draftkings
24970,462,pts_reb_ast,28.5,UNKNOWN,betonlineag
24969,67033,pts_reb_ast,21.5,UNKNOWN,betonlineag
24970,424,pts_reb,9.5,UNKNOWN,draftkings
24970,591,pts,19.5,UNKNOWN,pinnacle
24969,408,pts_ast,15.5,UNKNOWN,fanduel
24970,591,pts_ast,25.5,UNKNOWN,fanduel
24970,465,pts_reb_ast,25.5,UNKNOWN,betonlineag
24969,535,pts,27.5,UNKNOWN,pinnacle
24969,409,pts,6.5,UNKNOWN,pinnacle
24970,468,pts,21.5,UNKNOWN,pinnacle
24970,468,pts_ast,25.5,UNKNOWN,fanduel
24970,465,pts_ast,16.5,UNKNOWN,fanduel
24969,67033,pts_reb,19.5,UNKNOWN,draftkings
24969,726,pts_reb_ast,25.5,UNKNOWN,betonlineag
24970,462,pts,22.5,UNKNOWN,betonlineag
24969,409,pts_reb,11.5,UNKNOWN,draftkings
24970,462,pts_reb,26.5,UNKNOWN,draftkings
24969,726,pts_reb,23.5,UNKNOWN,draftkings
24969,408,pts_reb_ast,18.5,UNKNOWN,betonlineag
24969,535,pts_reb_ast,41.5,UNKNOWN,fanduel
24969,570,pts,19.5,UNKNOWN,pinnacle
24969,285,pts_ast,13.5,UNKNOWN,draftkings
24969,570,ast,6.5,UNKNOWN,pinnacle
24970,373,pts_ast,24.5,UNKNOWN,draftkings
24970,633,reb,5.5,UNKNOWN,betonlineag
24970,373,pts_reb_ast,32.5,UNKNOWN,draftkings
24970,468,pts_reb,30.5,UNKNOWN,fanduel
24970,66925,pts,8.5,UNKNOWN,betonlineag
24970,633,pts,6.5,UNKNOWN,betonlineag
24969,535,pts_reb,37.5,UNKNOWN,draftkings
24969,285,pts_reb,11.5,UNKNOWN,draftkings
24969,408,pts_reb,13.5,UNKNOWN,draftkings
24970,465,reb_ast,11.5,UNKNOWN,draftkings
24970,591,ast,5.5,UNKNOWN,pinnacle
24970,765,pts_reb_ast,13.5,UNKNOWN,betonlineag
24970,633,pts_reb,12.5,UNKNOWN,fanduel
24969,410,ast,6.5,UNKNOWN,fanduel
24969,410,pts_ast,19.5,UNKNOWN,draftkings
24970,465,pts,13.5,UNKNOWN,betonlineag
24970,591,pts_reb_ast,29.5,UNKNOWN,fanduel
24969,535,pts_ast,30.5,UNKNOWN,draftkings
24969,410,pts,12.5,UNKNOWN,draftkings
24970,373,pts_reb,22.5,UNKNOWN,fanduel
24970,373,pts_reb_ast,31.5,UNKNOWN,fanduel
24970,373,reb_ast,16.5,UNKNOWN,fanduel
24969,67033,pts,16.5,UNKNOWN,fanduel
24970,66925,pts_reb_ast,13.5,UNKNOWN,betonlineag
24969,285,pts_reb_ast,15.5,UNKNOWN,betonlineag
24969,570,pts_ast,26.5,UNKNOWN,draftkings
24969,726,pts_ast,17.5,UNKNOWN,draftkings
24970,242,pts_reb,16.5,UNKNOWN,draftkings
24970,468,pts_reb_ast,33.5,UNKNOWN,betonlineag
24970,462,pts_ast,24.5,UNKNOWN,draftkings
24969,570,pts_reb_ast,30.5,UNKNOWN,draftkings
24970,765,pts,8.5,UNKNOWN,draftkings
24969,535,pts,26.5,UNKNOWN,draftkings
24969,410,reb_ast,9.5,UNKNOWN,fanduel
24970,465,fg3m,1.5,UNKNOWN,fanduel
24970,591,pts_reb,23.5,UNKNOWN,fanduel
24970,465,pts_reb,22.5,UNKNOWN,fanduel
24969,410,fg3m,1.5,UNKNOWN,fanduel
24969,645,reb,5.5,UNKNOWN,fanduel
24970,591,fg3m,2.5,UNKNOWN,fanduel
24970,66925,pts_reb,10.5,UNKNOWN,draftkings
24969,409,pts_reb_ast,12.5,UNKNOWN,betonlineag
24969,410,pts_reb_ast,22.5,UNKNOWN,draftkings
24970,66925,pts_ast,11.5,UNKNOWN,fanduel
24970,373,pts,14.5,UNKNOWN,fanduel
24970,373,pts_ast,23.5,UNKNOWN,fanduel
24969,570,pts_reb,23.5,UNKNOWN,draftkings
24969,285,pts,8.5,UNKNOWN,pinnacle
24970,373,ast,8.5,UNKNOWN,pinnacle
24970,242,reb,5.5,UNKNOWN,pinnacle
24969,285,reb_ast,6.5,UNKNOWN,draftkings
24970,765,pts_reb,10.5,UNKNOWN,draftkings
24969,410,pts_reb,15.5,UNKNOWN,draftkings
24969,535,pts_reb_ast,40.5,UNKNOWN,betonlineag
24970,468,reb_ast,11.5,UNKNOWN,draftkings
24969,67033,pts_ast,18.5,UNKNOWN,draftkings
24969,437,reb,2.5,UNKNOWN,draftkings
