player_id,player_name,game_id,team,opponent,home_away,recent_minutes,projected_minutes,minutes_sigma,recent_usage,rest_days,issues,player_minutes_mean_l5,player_usage_percentage_l5,player_pts_mean_l5,is_back_to_back,opponent_abbreviation,opponent_team_abbreviation,team_abbreviation,player_zero_minute_rate_l5
67033,Sydney Taylor,24969,CHI,LV,,26.2,,,nan,9.0,,26.2,nan,21.0,0.0,LV,CON,CHI,0.0
67044,Aubrey Griffin,24970,NY,PHX,,1.6666666666666667,,,nan,2.0,,1.6666666666666667,nan,0.6666666666666666,0.0,PHX,POR,NY,0.6666666666666666
67054,Saylor Poffenbarger,24969,CHI,LV,,1.6,,,nan,1.0,,1.6,nan,0.0,1.0,LV,CON,CHI,0.8
67061,Janiah Barker,24969,LV,CHI,,0.0,,,nan,12.0,,0.0,nan,0.0,0.0,CHI,POR,LV,1.0
67092,Noemie Brochant,24970,PHX,NY,,21.2,,,nan,8.0,,21.2,nan,4.0,0.0,NY,GS,PHX,0.0
67094,Shay Ciezki,24970,PHX,NY,,2.0,,,nan,9.0,,2.0,nan,0.6,0.0,NY,CON,PHX,0.6
67135,Ta'Niya Latson,24969,LV,CHI,,2.8,,,nan,2.0,,2.8,nan,0.8,0.0,CHI,NY,LV,0.4
67157,Marta Suarez,24970,PHX,NY,,4.8,,,nan,8.0,,4.8,nan,2.4,0.0,NY,GS,PHX,0.4
74551,Marine Fauthoux,24970,NY,PHX,,17.4,,,nan,2.0,,17.4,nan,5.8,0.0,PHX,LV,NY,0.0
74553,Alex Fowler,24970,NY,PHX,,17.0,,,nan,7.0,,17.0,nan,12.0,0.0,PHX,GS,NY,0.0
74872,Quionche Carter,24970,PHX,NY,,5.2,,,nan,9.0,,5.2,nan,0.6,0.0,NY,CON,PHX,0.2
74884,Jovana Nogic,24970,PHX,NY,,18.2,,,nan,14.0,,18.2,nan,6.8,0.0,NY,CON,PHX,0.0
75095,Peyton Williams,24970,PHX,NY,,6.0,,,nan,2.0,,6.0,nan,0.0,0.0,NY,GS,PHX,0.0
188326,Mai Yamamoto,24969,LV,CHI,,1.5,,,nan,2.0,,1.5,nan,0.0,0.0,CHI,NY,LV,0.5
