player_id,player_name,game_id,team,opponent,home_away,recent_minutes,projected_minutes,minutes_sigma,recent_usage,rest_days,issues,player_minutes_mean_l5,player_usage_percentage_l5,player_pts_mean_l5,is_back_to_back,opponent_abbreviation,opponent_team_abbreviation,team_abbreviation,player_zero_minute_rate_l5
242,DeWanna Bonner,24970,PHX,NY,,28.2,,,nan,8.0,,28.2,nan,11.4,0.0,NY,GS,PHX,0.0
285,Courtney Vandersloot,24969,CHI,LV,,19.6,,,nan,9.0,,19.6,nan,10.2,0.0,LV,CON,CHI,0.0
346,Skylar Diggins,24969,CHI,LV,,6.8,,,nan,14.0,,6.8,nan,3.8,0.0,LV,CON,CHI,0.8
373,Alyssa Thomas,24970,PHX,NY,,34.4,,,nan,8.0,,34.4,nan,13.8,0.0,NY,GS,PHX,0.0
408,Natasha Cloud,24969,CHI,LV,,31.6,,,nan,9.0,,31.6,nan,11.8,0.0,LV,CON,CHI,0.0
409,Elizabeth Williams,24969,CHI,LV,,17.2,,,nan,9.0,,17.2,nan,7.0,0.0,LV,CON,CHI,0.0
410,Chelsea Gray,24969,LV,CHI,,31.6,,,nan,2.0,,31.6,nan,14.8,0.0,CHI,NY,LV,0.0
418,Cheyenne Parker-Tyus,24969,LV,CHI,,9.4,,,nan,1.0,,9.4,nan,5.6,1.0,CHI,WSH,LV,0.0
419,Betnijah Laney-Hamilton,24970,NY,PHX,,3.2,,,nan,2.0,,3.2,nan,1.2,0.0,PHX,LV,NY,0.8
424,Rebecca Allen,24970,NY,PHX,,19.4,,,nan,2.0,,19.4,nan,4.2,0.0,PHX,LV,NY,0.2
437,Jewell Loyd,24969,LV,CHI,,26.6,,,nan,2.0,,26.6,nan,9.4,0.0,CHI,NY,LV,0.0
448,Valeriane Ayayi,24970,PHX,NY,,18.8,,,nan,8.0,,18.8,nan,6.0,0.0,NY,GS,PHX,0.0
462,Kahleah Copper,24970,PHX,NY,,28.6,,,nan,4.0,,28.6,nan,18.0,0.0,NY,GS,PHX,0.0
465,Jonquel Jones,24970,NY,PHX,,26.8,,,nan,2.0,,26.8,nan,14.4,0.0,PHX,LV,NY,0.0
466,Rachel Banham,24969,CHI,LV,,6.8,,,nan,9.0,,6.8,nan,2.8,0.0,LV,CON,CHI,0.0
468,Breanna Stewart,24970,NY,PHX,,35.2,,,nan,2.0,,35.2,nan,22.8,0.0,PHX,LV,NY,0.0
483,Sami Whitcomb,24970,PHX,NY,,12.2,,,nan,8.0,,12.2,nan,4.2,0.0,NY,GS,PHX,0.2
502,Stephanie Talbot,24969,LV,CHI,,15.2,,,nan,2.0,,15.2,nan,2.4,0.0,CHI,NY,LV,0.0
525,Azura Stevens,24969,CHI,LV,,30.6,,,nan,9.0,,30.6,nan,15.6,0.0,LV,CON,CHI,0.0
535,A'ja Wilson,24969,LV,CHI,,27.6,,,nan,2.0,,27.6,nan,24.8,0.0,CHI,NY,LV,0.0
555,Brianna Turner,24969,LV,CHI,,16.0,,,nan,2.0,,16.0,nan,3.6,0.0,CHI,NY,LV,0.0
566,Han Xu,24970,NY,PHX,,15.2,,,nan,2.0,,15.2,nan,5.4,0.0,PHX,LV,NY,0.0
570,Jackie Young,24969,LV,CHI,,26.8,,,nan,2.0,,26.8,nan,18.2,0.0,CHI,NY,LV,0.0
582,Marine Johannes,24970,NY,PHX,,19.8,,,nan,12.0,,19.8,nan,8.0,0.0,PHX,LV,NY,0.0
591,Sabrina Ionescu,24970,NY,PHX,,34.8,,,nan,2.0,,34.8,nan,23.4,0.0,PHX,LV,NY,0.0
602,Satou Sabally,24970,NY,PHX,,7.0,,,nan,7.0,,7.0,nan,2.8,0.0,PHX,IND,NY,0.6
605,Chennedy Carter,24969,LV,CHI,,10.4,,,nan,1.0,,10.4,nan,6.6,1.0,CHI,IND,LV,0.4
620,Dana Evans,24969,LV,CHI,,13.6,,,nan,2.0,,13.6,nan,3.2,0.0,CHI,NY,LV,0.2
626,DiJonai Carrington,24969,CHI,LV,,0.0,,,nan,14.0,,0.0,nan,0.0,0.0,LV,CON,CHI,1.0
631,Kiana Williams,24970,PHX,NY,,10.0,,,nan,14.0,,10.0,nan,3.2,0.0,NY,LA,PHX,0.2
633,Natasha Mack,24970,PHX,NY,,7.0,,,nan,8.0,,7.0,nan,2.8,0.0,NY,GS,PHX,0.6
636,Kierstan Bell,24969,LV,CHI,,9.6,,,nan,1.0,,9.6,nan,2.2,1.0,CHI,WSH,LV,0.2
642,Anneli Maley,24970,NY,PHX,,5.0,,,nan,9.0,,5.0,nan,1.0,0.0,PHX,LV,NY,0.6
645,NaLyssa Smith,24969,LV,CHI,,16.0,,,nan,2.0,,16.0,nan,9.0,0.0,CHI,NY,LV,0.2
663,Rebekah Gardner,24970,NY,PHX,,11.0,,,nan,2.0,,11.0,nan,5.0,0.0,PHX,LV,NY,0.2
712,Leonie Fiebich,24970,NY,PHX,,20.0,,,nan,7.0,,20.0,nan,4.2,0.0,PHX,IND,NY,0.4
715,Julie Vanloo,24970,NY,PHX,,16.25,,,nan,7.0,,16.25,nan,6.75,0.0,PHX,GS,NY,0.0
720,Rickea Jackson,24969,CHI,LV,,0.0,,,nan,1.0,,0.0,nan,0.0,1.0,LV,POR,CHI,1.0
725,Jacy Sheldon,24969,CHI,LV,,19.0,,,nan,9.0,,19.0,nan,4.0,0.0,LV,CON,CHI,0.0
726,Kamilla Cardoso,24969,CHI,LV,,20.4,,,nan,9.0,,20.4,nan,10.0,0.0,LV,CON,CHI,0.2
747,Kyara Linskens,24970,PHX,NY,,0.0,,,nan,8.0,,0.0,nan,0.0,0.0,NY,GS,PHX,1.0
751,Maddy Westbeld,24969,CHI,LV,,7.25,,,nan,10.0,,7.25,nan,0.75,0.0,LV,NY,CHI,0.25
765,Monique Akoa Makani,24970,PHX,NY,,25.6,,,nan,8.0,,25.6,nan,11.0,0.0,NY,GS,PHX,0.0
766,Lexi Held,24970,PHX,NY,,16.4,,,nan,8.0,,16.4,nan,5.2,0.0,NY,GS,PHX,0.0
774,Chloe Bibby,24969,CHI,LV,,8.25,,,nan,9.0,,8.25,nan,3.5,0.0,LV,CON,CHI,0.25
66925,Pauline Astier,24970,NY,PHX,,22.2,,,nan,2.0,,22.2,nan,8.6,0.0,PHX,LV,NY,0.0
66926,Raquel Carrera,24970,NY,PHX,,4.8,,,nan,2.0,,4.8,nan,0.8,0.0,PHX,LV,NY,0.0
66973,Justine Pissott,24969,LV,CHI,,9.2,,,nan,2.0,,9.2,nan,4.4,0.0,CHI,NY,LV,0.2
67023,Aicha Coulibaly,24969,CHI,LV,,3.4,,,nan,9.0,,3.4,nan,1.6,0.0,LV,CON,CHI,0.4
67027,Gabriela Jaquez,24969,CHI,LV,,17.0,,,nan,9.0,,17.0,nan,6.6,0.0,LV,CON,CHI,0.0
