game_date_et,bdl_game_id,odds_api_event_id,away_team,home_team,scheduled_tip_utc,odds_commence_utc,bdl_tip_utc,venue,game_status,bdl_status,source_timestamp_utc,bdl_source_timestamp_utc,odds_source_timestamp_utc,identity_match_status,bdl_api_match_status
2026-08-01,24969,d113b66ed1649d47506a6434e06bd1b6,LV,CHI,2026-08-01T17:00:00Z,2026-08-01T17:00:00Z,2026-08-01T17:00:00Z,,scheduled,pre,2026-08-01T16:25:36.676934+00:00,2026-08-01T16:27:18.397356+00:00,2026-08-01T16:27:18.509907+00:00,MATCH,MATCH
2026-08-01,24970,e9d3ed7c6df9b35e3b167038806ecd53,NY,PHX,2026-08-01T19:00:00Z,2026-08-01T19:00:00Z,2026-08-01T19:00:00Z,,scheduled,pre,2026-08-01T16:25:36.676934+00:00,2026-08-01T16:27:18.397356+00:00,2026-08-01T16:27:18.509907+00:00,MATCH,MATCH
