game_id,player_id,player_name,stat,pmf_column,n_atoms,all_finite,all_nonnegative,stored_atom_mass,overflow_probability,total_mass,normalization_error,support_min,support_max,predictive_mean,predictive_variance,zero_probability,p_dnp,pmf_hash,issues,model_status,calibration_status
24970,419,Betnijah Laney-Hamilton,pts,active_pmf_json,61,True,True,1.0000000000000002,0.0,1.0000000000000002,2.220446049250313e-16,0.0,60.0,2.4199387299999993,25.929976653045987,0.53525987,0.41420118343195267,a553e1b8ae446bef937142c026d136e2f628b65dac64433a250b4c18263324a0,,,
24969,626,DiJonai Carrington,pts,active_pmf_json,61,True,True,0.99999996,0.0,0.99999996,3.9999999978945766e-08,0.0,60.0,1.09205926,6.357223044944518,0.65211584,0.8333333333333334,a325d47d2d226d5f6c78f476090e205849f2505650d7747acb5e114ae5242798,,,
24970,747,Kyara Linskens,pts,active_pmf_json,61,True,True,0.9999999699999993,0.0,0.9999999699999993,3.000000070585429e-08,0.0,60.0,2.37809369,24.997986601922307,0.53680289,0.8333333333333334,58c5a68f1b8d2234d08a84d6a6c9768e41e31580bc1170ecae736162f50619fd,,,
24969,67054,Saylor Poffenbarger,pts,active_pmf_json,61,True,True,1.00000001,0.0,1.00000001,9.99999993922529e-09,0.0,60.0,0.10996177000000001,0.17810015925938302,0.91619949,0.5066666666666667,6a36fc4163c8f2c2ed27b7168e4dd6306dae591e321133bce5df75fd48f6fb1d,,,
24970,419,Betnijah Laney-Hamilton,reb,active_pmf_json,31,True,True,0.99999999,0.0,0.99999999,1.0000000050247593e-08,0.0,30.0,1.0227304099999999,5.315039208001458,0.65797876,0.41420118343195267,aa726259b0a650cb6aa5ec5606e813b65732ff043569f5dcdccd2f2269cc2a43,,,
24969,626,DiJonai Carrington,reb,active_pmf_json,31,True,True,1.00000001,0.0,1.00000001,9.99999993922529e-09,0.0,30.0,1.41335704,9.14069033745822,0.61195576,0.8333333333333334,7bfedc1589e59a721475269f327c5572ce6b1a2b837757dbace638238f33d636,,,
24970,747,Kyara Linskens,reb,active_pmf_json,31,True,True,0.9999999800000002,0.0,0.9999999800000002,1.9999999767428278e-08,0.0,30.0,0.8424352300000001,3.8155949790609056,0.68539714,0.8333333333333334,e49e62050645635d326d4ccf904c52f40390d37d4df9c3ac9d7fb0316a234be1,,,
24969,67054,Saylor Poffenbarger,reb,active_pmf_json,31,True,True,0.99999998,0.0,0.99999998,1.9999999989472883e-08,0.0,30.0,0.8154829800000001,4.214546856030069,0.69972792,0.5066666666666667,e4ffdd00315c69d78aa6f15f5c97aaa9d1702c3d7c1e881fd5b852aedf73db1e,,,
24970,419,Betnijah Laney-Hamilton,ast,active_pmf_json,26,True,True,1.0,0.0,1.0,0.0,0.0,25.0,1.7954531046703024,11.268041352246419,0.5537574658899868,0.41420118343195267,33c1c5c12a91c7e28b9340bd5e8ace95d57a2a281bb25f542dbfd7367d9b065f,,,
24969,626,DiJonai Carrington,ast,active_pmf_json,26,True,True,1.0,0.0,1.0,0.0,0.0,25.0,1.4492065538164411,7.984223441126577,0.5872430839962168,0.8333333333333334,c4514ce7987d2be7b9257544289b6753a37d5ad4396234b6da2d52c7fd6c5687,,,
