prop,candidate,n_settled,n_clusters,date_min,date_max,model_logloss,market_logloss,model_brier,market_brier,logloss_delta,brier_delta,model_auc,market_auc,auc_delta,logloss_delta_ci_low,logloss_delta_ci_high,logloss_delta_p_one_sided,brier_delta_ci_low,brier_delta_ci_high,brier_delta_p_one_sided,auc_delta_ci_low,auc_delta_ci_high,auc_delta_p_one_sided,logloss_delta_p_holm,brier_delta_p_holm,auc_delta_p_holm,gate_logloss,gate_brier,gate_auc,market_superiority_gate
ast,G0_current,291,21,2026-06-20,2026-07-15,0.7098341473464346,0.6791704944926477,0.2545223413360541,0.24310650379571117,0.030663652853786916,0.011415837540342949,0.5479336043360434,0.5760985288424313,-0.028164924506387856,,,,,,,,,,,,,False,False,False,INSUFFICIENT
fg3m,G0_current,296,21,2026-06-20,2026-07-15,0.7033525135230192,0.6557041341147108,0.24951231844190416,0.23191067012312944,0.04764837940830835,0.017601648318774726,0.5987822316527516,0.6529360210341806,-0.05415378938142901,,,,,,,,,,,,,False,False,False,INSUFFICIENT
pts,G0_current,545,21,2026-06-20,2026-07-15,0.750391986863235,0.6930003855628252,0.2714701651451126,0.24992977538496536,0.05739160130040988,0.021540389760147216,0.5181643843016503,0.5116684223320638,0.006495961969586572,0.013503880063667302,0.10754433550670223,0.9945027486256871,0.004095162022331993,0.04185061224375877,0.991504247876062,-0.06077045045827867,0.06821706883718466,0.440279860069965,1.0,1.0,0.88055972013993,False,False,False,FAIL
reb,G0_current,434,21,2026-06-20,2026-07-15,0.7423806796826143,0.6797909501058883,0.26678461225183403,0.24339266966104584,0.06258972957672604,0.023391942590788195,0.5377747983570623,0.592723828981251,-0.054949030624188655,0.023611488291614007,0.10445757989708329,0.999000499750125,0.00785921025390145,0.03971084792684032,0.9980009995002499,-0.11228569817310954,0.00010516657255777063,0.9740129935032483,1.0,1.0,0.9740129935032483,False,False,False,FAIL
