fold,stat,family,rows,nll,crps,mean_mae,pit_ks,n_features,feature_hash
v5_2024_h1,pts,minutes_mixture_nb2,2067,2.9144609122590714,2.885730307758379,4.099187341542113,0.08478789207424946,77,afb4dd07c1d94070
v5_2024_h1,reb,minutes_mixture_nb2,2067,2.0786625703722934,1.23716620289444,1.8043819194541963,0.038889821000092806,71,666ac1e7d92fc87d
v5_2024_h1,ast,minutes_mixture_nb2,2067,1.6705229907346772,0.8255077876182579,1.216670999076636,0.02395864681358928,71,73ad4f27f820207a
v5_2024_h1,fg3m,minutes_mixture_nb2,2067,1.0812320428892264,0.45350296681920216,0.705703066486687,0.026768638660068844,73,47512bb66b58c50f
v5_2024_h1,stl,minutes_mixture_nb2,2067,1.1947111414893004,0.4768611103810734,0.7425116185779432,0.026594888455142462,70,920c6f532e283133
v5_2024_h1,blk,minutes_mixture_nb2,2067,0.8140628273523022,0.29565947932764086,0.4936221870497674,0.02594630542721188,68,a80a23b12e0b5463
v5_2024_h1,turnover,minutes_mixture_nb2,2067,1.4982251058888298,0.6739375592455674,1.0203913665295357,0.030506058568808614,67,0eb3b6b9a687b3ed
v5_2024_h2,pts,minutes_mixture_nb2,2650,2.9270211894324185,2.913291892077348,4.175301934113755,0.08226096982142216,77,afb4dd07c1d94070
v5_2024_h2,reb,minutes_mixture_nb2,2650,2.101343758961043,1.2637981164029504,1.8274050088738871,0.035538986214112944,71,666ac1e7d92fc87d
v5_2024_h2,ast,minutes_mixture_nb2,2650,1.6925047222549503,0.8328633845825906,1.2230944440162448,0.016039988117618087,71,73ad4f27f820207a
v5_2024_h2,fg3m,minutes_mixture_nb2,2650,1.068823342637013,0.4474235820677962,0.7097153436752263,0.02739786543575856,73,47512bb66b58c50f
v5_2024_h2,stl,minutes_mixture_nb2,2650,1.159478868423989,0.4597211502113998,0.7373537724439455,0.03342763601309906,70,920c6f532e283133
v5_2024_h2,blk,minutes_mixture_nb2,2650,0.8024568091940317,0.29071199853001756,0.4857471338550752,0.02649335445522416,68,a80a23b12e0b5463
v5_2024_h2,turnover,minutes_mixture_nb2,2650,1.4403387109629577,0.6238643619722447,0.9514540097125215,0.03557766833199638,67,0eb3b6b9a687b3ed
v5_2025_h1,pts,minutes_mixture_nb2,2058,2.9730057397005254,2.9937602728492436,4.246064481562176,0.07260782832130544,77,afb4dd07c1d94070
v5_2025_h1,reb,minutes_mixture_nb2,2058,2.1097412382228056,1.2608643083421855,1.8169604231832428,0.02362735035944996,71,666ac1e7d92fc87d
v5_2025_h1,ast,minutes_mixture_nb2,2058,1.6500453085020792,0.813151403250006,1.2096372234373933,0.03080585555354426,71,73ad4f27f820207a
v5_2025_h1,fg3m,minutes_mixture_nb2,2058,1.1383833906691678,0.4831073788135375,0.7598686095490275,0.026398716462089467,73,47512bb66b58c50f
v5_2025_h1,stl,minutes_mixture_nb2,2058,1.1704667578912484,0.4658478022874329,0.7337533745341135,0.01605419170274197,70,920c6f532e283133
v5_2025_h1,blk,minutes_mixture_nb2,2058,0.7803127330799178,0.28414697602087335,0.5032259951136824,0.035822591727625586,68,a80a23b12e0b5463
v5_2025_h1,turnover,minutes_mixture_nb2,2058,1.5058511723584058,0.674435905393088,1.0159638086677296,0.037170360062513286,67,0eb3b6b9a687b3ed
v5_2025_h2,pts,minutes_mixture_nb2,3811,2.9051114804096887,2.857226981884599,4.065062564119784,0.04849994013617809,77,afb4dd07c1d94070
v5_2025_h2,reb,minutes_mixture_nb2,3811,2.0694299035715544,1.2244403264784163,1.7812669596641444,0.024196913253221097,71,666ac1e7d92fc87d
v5_2025_h2,ast,minutes_mixture_nb2,3811,1.6562863161175334,0.82543231225981,1.2245963739198245,0.014905114198014102,71,73ad4f27f820207a
v5_2025_h2,fg3m,minutes_mixture_nb2,3811,1.1101511781139308,0.47045924229371733,0.7364019281935498,0.011616469583227707,73,47512bb66b58c50f
v5_2025_h2,stl,minutes_mixture_nb2,3811,1.127911547067594,0.44981178893206686,0.719277415373807,0.010610798234599761,70,920c6f532e283133
v5_2025_h2,blk,minutes_mixture_nb2,3811,0.7577253733771779,0.27609525839046156,0.4851842411486365,0.015985754474125646,68,a80a23b12e0b5463
v5_2025_h2,turnover,minutes_mixture_nb2,3811,1.4220699952303675,0.6143103671122744,0.9452904912672612,0.04513559024895952,67,0eb3b6b9a687b3ed
