stat,v5_nll,v5_crps,v4_nll,v4_crps,nll_delta_v5_minus_v4
ast,1.66733983440231,0.8242387219276661,1.6685871817722513,0.8262302609843709,-0.001247347369941254
blk,0.7886394357508574,0.28665342806724836,0.7883005452294742,0.2880192997917299,0.00033889052138313946
fg3m,1.0996474885773346,0.46362329249856327,1.0926774464279467,0.4647198387361221,0.0069700421493879006
pts,2.929899830450426,2.9125023636423926,2.9446109817140513,2.924093488741767,-0.014711151263625322
reb,2.089794367781924,1.2465672385294981,2.0898355297109146,1.242888093977818,-4.1161928990618435e-05
stl,1.1631420787180329,0.46306046295299325,1.1502623768063653,0.4614540899755771,0.01287970191166754
turnover,1.4666212461101402,0.6466370484307936,1.461177984028457,0.6428787925478979,0.005443262081683109
