stat,rows,game_dates,logloss_model,logloss_market,delta_logloss,delta_ci95_upper,market_beaten,fold
pts,1470,36,0.6901166470649822,0.6900059411252247,0.00011070593975748277,0.027139490878884072,False,v5_2024_h1
reb,1061,36,0.702508287784346,0.6902448193495354,0.012263468434810632,0.04008388434059489,False,v5_2024_h1
ast,448,36,0.7036910530428834,0.7072688390903776,-0.003577786047494258,0.02317613930733827,False,v5_2024_h1
fg3m,573,36,0.714998828186392,0.6807146525586878,0.03428417562770425,0.08015492236762646,False,v5_2024_h1
pts,2370,40,0.7190053615396458,0.6902523154889919,0.028753046050653874,0.04811424178431385,False,v5_2024_h2
reb,2003,40,0.7109795257208767,0.6939825752387913,0.016996950482085493,0.03189651300767294,False,v5_2024_h2
ast,1018,40,0.6582495451742807,0.6885718219215516,-0.03032227674727095,-0.004383414308084852,True,v5_2024_h2
fg3m,966,40,0.6826025928795706,0.6769428203499993,0.005659772529571283,0.024137900415719317,False,v5_2024_h2
pts,1430,31,0.7226498350257173,0.6889128671035637,0.03373696792215364,0.0638070753471686,False,v5_2025_h1
reb,1126,31,0.7219550339803308,0.6912988184925924,0.030656215487738336,0.05442123838347757,False,v5_2025_h1
ast,591,31,0.6954841736191024,0.6989649817225468,-0.0034808081034444216,0.036157907367469086,False,v5_2025_h1
fg3m,710,31,0.6908042822767405,0.6828797359048635,0.007924546371877006,0.03911769267928747,False,v5_2025_h1
pts,4205,60,0.7021358262439061,0.6906100548392065,0.01152577140469968,0.027361876003611955,False,v5_2025_h2
reb,3305,60,0.690031903996721,0.6825799986741959,0.007451905322525043,0.021184509683649187,False,v5_2025_h2
ast,1909,60,0.6863793626308493,0.6812884810301381,0.00509088160071125,0.0226580550140989,False,v5_2025_h2
fg3m,2134,60,0.6725941895939248,0.681215443038938,-0.008621253445013188,0.006564940380047679,False,v5_2025_h2
