stat,fold,nll,crps,pit_ks
ast,v5_2024_h2,1.6925047222549503,0.8328633845825906,0.016039988117618087
blk,v5_2024_h1,0.8140628273523022,0.29565947932764086,0.02594630542721188
fg3m,v5_2025_h1,1.1383833906691678,0.4831073788135375,0.026398716462089467
pts,v5_2025_h1,2.9730057397005254,2.9937602728492436,0.07260782832130544
reb,v5_2025_h1,2.1097412382228056,1.2608643083421855,0.02362735035944996
stl,v5_2024_h1,1.1947111414893004,0.4768611103810734,0.026594888455142462
turnover,v5_2025_h1,1.5058511723584058,0.674435905393088,0.037170360062513286
