season,CONFIRMED_ACTIVE,CONFIRMED_INACTIVE,INFERRED_ELIGIBLE_DNP,UNKNOWN_ROSTER_ELIGIBILITY,training_eligible,inferred_excluded_from_training,unknown_excluded_from_training
2023,4918,406,470,0,5324,470,0
2024,4928,429,572,0,5357,572,0
2025,5869,641,630,0,6510,630,0
2026,4324,574,414,0,4898,414,0
