player_id,market_key,status
FIX00,player_points,PRICED
FIX00,player_rebounds,PRICED
FIX00,player_assists,PRICED
FIX00,player_threes,PRICED
FIX00,player_blocks,PRICED
FIX00,player_steals,PRICED
FIX00,player_turnovers,PRICED
FIX00,player_field_goals,PRICED
FIX00,player_frees_made,PRICED
FIX00,player_frees_attempts,PRICED
FIX00,player_points_q1,PRICED
FIX00,player_rebounds_q1,PRICED
FIX00,player_assists_q1,PRICED
FIX00,player_blocks_steals,PRICED
FIX00,player_points_rebounds,PRICED
FIX00,player_points_assists,PRICED
FIX00,player_rebounds_assists,PRICED
FIX00,player_points_rebounds_assists,PRICED
FIX00,player_points_alternate,PRICED
FIX00,player_rebounds_alternate,PRICED
FIX00,player_assists_alternate,PRICED
FIX00,player_threes_alternate,PRICED
FIX00,player_blocks_alternate,PRICED
FIX00,player_steals_alternate,PRICED
FIX00,player_points_rebounds_alternate,PRICED
FIX00,player_points_assists_alternate,PRICED
FIX00,player_rebounds_assists_alternate,PRICED
FIX00,player_points_rebounds_assists_alternate,PRICED
FIX00,player_fantasy_points,NO_DISTRIBUTION
FIX00,player_double_double,PRICED
FIX00,player_triple_double,PRICED
FIX01,player_points,PRICED
FIX01,player_rebounds,PRICED
FIX01,player_assists,PRICED
FIX01,player_threes,PRICED
FIX01,player_blocks,PRICED
FIX01,player_steals,PRICED
FIX01,player_turnovers,PRICED
FIX01,player_field_goals,PRICED
FIX01,player_frees_made,PRICED
FIX01,player_frees_attempts,PRICED
FIX01,player_points_q1,PRICED
FIX01,player_rebounds_q1,PRICED
FIX01,player_assists_q1,PRICED
FIX01,player_blocks_steals,PRICED
FIX01,player_points_rebounds,PRICED
FIX01,player_points_assists,PRICED
FIX01,player_rebounds_assists,PRICED
FIX01,player_points_rebounds_assists,PRICED
FIX01,player_points_alternate,PRICED
FIX01,player_rebounds_alternate,PRICED
FIX01,player_assists_alternate,PRICED
FIX01,player_threes_alternate,PRICED
FIX01,player_blocks_alternate,PRICED
FIX01,player_steals_alternate,PRICED
FIX01,player_points_rebounds_alternate,PRICED
