stat,n,control_nll,challenger_nll,delta_nll,control_crps,challenger_crps,control_mae,challenger_mae,challenger_variance_bias
pts,4000,3.063717968313479,3.1216906549075776,0.05797268659409838,3.4813766625152254,3.614798804331009,4.679272716290493,4.962489696191944,-22.630532215577436
reb,4000,2.2095002699632085,2.259979058250969,0.05047878828776042,1.4189322047146002,1.4783089891650183,1.9759330755578157,2.0900009311146057,-4.776161849271434
ast,4000,1.7418000118216592,1.7709016344000352,0.029101622578376007,0.9250703588247337,0.9531696644054432,1.2999136453898832,1.3570124402061587,-2.62346827357104
fg3m,4000,1.1466034952407016,1.1461991942040448,-0.0004043010366567845,0.5070191416458486,0.5076454830510093,0.7409694262456469,0.7545006122512089,-0.3789351909069447
stl,4000,1.138644609824399,1.141772033915443,0.00312742409104394,0.4576863306349841,0.4594158282731026,0.7324059376210892,0.7386367130920803,-0.16784970375650654
blk,4000,0.7708922548039957,0.7712173149297664,0.0003250601257707153,0.28520015600064097,0.28490433279782895,0.47465950536089474,0.4885179113824549,-0.13703423657581765
turnover,4000,1.4645727367794719,1.4794313354746635,0.014858598695191683,0.64415335503776,0.6540707128488399,0.9625982976015068,0.9858543972235478,-0.41004799415727944
