fold,candidate,n_train,n_test,date_count,base_rate,pred_mean,nll,brier,calibration_intercept,calibration_slope,ece,roc_auc_diagnostic
0,logistic,398,577,65,0.5632582322357019,0.33408783635625916,0.7871694100199373,0.2286963756694727,1.2745140197769658,0.5661568778956038,0.24968402317988744,0.8501587301587301
0,hgb,398,577,65,0.5632582322357019,0.32995200026924637,0.7588740677016007,0.24092408287900008,1.3157909194350061,0.6693513916401356,0.25163969614311166,0.8365079365079364
1,logistic,975,694,65,0.6066282420749279,0.5396419329451485,0.4733782797686448,0.15217600784100707,0.4591558562705362,0.8817987935268061,0.07254269282673868,0.8608580651335995
1,hgb,975,694,65,0.6066282420749279,0.521592555099105,0.3892723809930896,0.11697745747258377,0.7345226529430272,1.0234862471482364,0.085035686975823,0.9099388339293326
2,logistic,1669,1050,65,0.7266666666666667,0.6314753063416475,0.4743412000786375,0.11870446340709369,0.7644167938073989,0.7332331900530825,0.11277482777779323,0.8785648069923876
2,hgb,1669,1050,65,0.7266666666666667,0.6316904672944745,0.3528349472729153,0.10231363051577949,0.909143540670846,1.0138361765670447,0.09497619937219227,0.9029208013480622
3,logistic,2719,1225,65,0.7069387755102041,0.6940888556694874,0.3174761279146902,0.09250775287899113,0.05321204340719103,1.2197221453252116,0.057289505294971274,0.9203361917566758
3,hgb,2719,1225,65,0.7069387755102041,0.6725760847689374,0.2811949002476487,0.07856244578631953,0.38479511455818827,1.0454215166985812,0.036616777434246545,0.9280606894954551
