fold,family,n_train,n_test,date_count,pmf_ok,nll,crps,mae,rmse,bias,variance_bias,pit_mean,coverage_50,coverage_80,coverage_95,tail_exceedance_40
0,hgb_residual,1266,1263,25,True,3.349145443112714,3.6703584944521794,5.14399387779297,6.506075252913666,0.05507919556118609,-81.78601913447602,0.49591343812164157,0.4505146476642914,0.7252573238321457,0.894695170229612,0.003167062549485352
0,ordinal_survival,1266,1263,25,True,27.570719381684853,21.264877301177158,21.264838457295227,23.647963694000396,-21.264838457295227,-105.59732209421459,0.9992112484306926,0.0,0.0,0.0,0.003167062549485352
0,role_mixture,1266,1263,25,True,3.387602448423268,3.7301560650946026,5.375784809613479,6.697939514565063,0.5572604580020643,-46.95713125587877,0.48757373445602525,0.5391923990498813,0.8305621536025336,0.9635787806809184,0.003167062549485352
1,hgb_residual,2529,1351,25,True,3.383278237080821,3.6156943264529855,5.023514977352536,6.430272997700891,0.1420624168564873,-63.033619690820586,0.49653418051146075,0.47298297557364916,0.7409326424870466,0.8985936343449297,0.0051813471502590676
1,ordinal_survival,2529,1351,25,True,27.533578784730278,21.32267497758661,21.322863063811287,23.305771940281137,-21.322863063811287,-84.90574540896233,0.9980302952957566,0.0,0.0,0.0,0.0051813471502590676
1,role_mixture,2529,1351,25,True,3.3632739412667307,3.663313284822582,5.021208177126578,6.413842544474442,0.3333915669768096,-33.77481088744207,0.4922156444287946,0.5780903034789046,0.8564026646928201,0.9822353811991118,0.0051813471502590676
2,hgb_residual,3880,1223,25,True,3.2007692205752534,3.365581000880074,4.817582251988019,5.984815142580366,0.023887211228499378,-76.13792080928678,0.5015093305036794,0.46443172526574,0.7636958299264105,0.9329517579721995,0.0008176614881439084
2,ordinal_survival,3880,1223,25,True,27.61428682077566,21.51571093858778,21.51743971643154,23.790028899577035,-21.51743971643154,-97.35750627333235,0.9969083229828922,0.0,0.0,0.0,0.0008176614881439084
2,role_mixture,3880,1223,25,True,3.22881311216833,3.4648442791035117,5.033473716647722,6.27298442056722,0.32020044802270864,-51.15422668887956,0.494889374519177,0.5878986099754702,0.8708094848732625,0.9762878168438267,0.0008176614881439084
3,hgb_residual,5103,766,25,True,3.277372087428829,3.5173453505908197,4.996392413982337,6.2629195411942975,0.06890772039961729,-91.45736877845866,0.4975095189842935,0.4608355091383812,0.7558746736292428,0.9177545691906005,0.01174934725848564
3,ordinal_survival,5103,766,25,True,27.39494392819956,21.50116434584355,21.50241618481722,24.10987567969741,-21.50241618481722,-114.31058074051633,0.9974652727673236,0.0,0.0,0.0,0.01174934725848564
3,role_mixture,5103,766,25,True,3.264936554650166,3.51709350203528,5.11450163820021,6.372747930024693,0.0820033323296933,-72.81662592640139,0.5093405335311396,0.5522193211488251,0.8198433420365535,0.9516971279373369,0.01174934725848564
