a_id,candidate,status,logloss_delta,brier_delta,cand_auc,market_auc,auc_delta,cand_ece,cal_slope,monotone_deployable,worst_fold_logloss_delta,proper_score_selection_eligible,strict_auc_selection_eligible
A1,C1_platt,EVALUATED,-0.0021094749671664026,-0.001067918750667085,0.47519963144963145,0.5397087428337428,-0.06450911138411136,0.003717863356197817,-0.47859630574719325,True,0.057247655786771046,False,False
A2,C4_blend,EVALUATED,-0.004750801845611052,-0.002341688776559603,0.5321457821457821,0.5397087428337428,-0.007562960687960696,0.02069338814657991,0.5507917705195601,True,0.021480192677630128,True,False
A3,C5_role_blend,EVALUATED,-0.0015623404507871808,-0.0011054825668755652,0.5328112203112203,0.5397087428337428,-0.0068975225225225145,0.02520674934090776,0.4253703815484377,True,0.03442490279913679,True,False
A0,market_identity,BASELINE,,,,,,,,,,,
A4,regularized_feature_residual,BLOCKED_NO_FEATURE_MATRIX,,,,,,,,,,,
