stat,family,mean,variance,stored_mass,overflow,normalization_error,support_max
pts,mixture,6.978324665548983,28.66668282049732,0.9999999304416445,6.955835602974923e-08,4.440892098500626e-16,80
pts,mixture,5.766464503264996,22.331669821268697,0.999999972167335,2.783266532473767e-08,4.440892098500626e-16,80
pts,mixture,6.464094121025103,11.218136605183943,1.0000000000000002,8.437122285517265e-19,2.220446049250313e-16,80
pts,mixture,4.157437182542777,7.387167292623047,1.0000000000000002,6.785331146383806e-20,2.220446049250313e-16,80
pts,mixture,3.6604927645222514,13.885389216181029,0.9999999272685965,7.273140364709558e-08,2.220446049250313e-16,80
pts,mixture,4.526502801031205,12.443295163252852,0.9999999999631699,3.683034003870426e-11,2.220446049250313e-16,80
pts,mixture,9.231524783824812,22.481226638279225,0.9999999999851866,1.4813795624286487e-11,4.440892098500626e-16,80
pts,mixture,1.637781619726228,3.922005886194471,0.9999999999952313,4.768890119215759e-12,2.220446049250313e-16,80
pts,mixture,11.054243748530686,23.897257012413334,0.9999999999964471,3.552565291162681e-12,3.3306690738754696e-16,80
pts,mixture,3.6796637614528445,6.431343864121912,1.0000000000000002,0.0,2.220446049250313e-16,80
pts,mixture,2.149130719076547,6.13545512695012,0.9999999993422545,6.577455523738595e-10,0.0,80
pts,mixture,7.390300996584395,16.83339721442944,0.9999999999989971,1.0029848859476223e-12,2.220446049250313e-16,80
pts,mixture,2.9467903110506657,6.0771676022617225,1.0000000000000002,1.7348049613618203e-16,4.440892098500626e-16,80
pts,mixture,5.745567135709958,16.696739232375137,0.9999999998622356,1.3776449806716326e-10,2.220446049250313e-16,80
pts,mixture,6.603149713661228,26.547567056032264,0.9999999522786412,4.772135919995173e-08,4.440892098500626e-16,80
pts,mixture,14.810988541203553,45.398046956971314,0.9999999585856985,4.1414301870315676e-08,2.220446049250313e-16,80
pts,mixture,15.70094807677835,39.27559422583863,0.9999999972211137,2.7788857027925774e-09,6.661338147750939e-16,80
pts,mixture,4.862418275547733,12.125868148262533,0.9999999999994095,5.907907009378124e-13,2.220446049250313e-16,80
pts,mixture,4.554174487892095,17.331970499368307,0.9999999618996253,3.810037490253214e-08,2.220446049250313e-16,80
pts,mixture,14.97453138466672,45.55011993831093,0.9999999646021582,3.5397842185072834e-08,4.440892098500626e-16,80
pts,mixture,4.9546786479917095,10.477302421151897,0.9999999999999832,1.6939333163565874e-14,2.220446049250313e-16,80
pts,mixture,3.7687576551947637,12.619545071039934,0.9999999958729993,4.127001074436799e-09,4.440892098500626e-16,80
pts,mixture,2.7806381944263516,8.898343641180468,0.9999999952327311,4.767269238598314e-09,2.220446049250313e-16,80
pts,mixture,5.101202629506178,14.36075406290804,0.9999999999357794,6.422059476741849e-11,0.0,80
pts,mixture,2.0382581816082754,5.915579696184518,0.9999999985339666,1.4660333277931997e-09,1.1102230246251565e-16,80
pts,mixture,4.872672799830326,18.20590172052371,0.9999999792699292,2.0730070931664165e-08,2.220446049250313e-16,80
