prop,candidate,n,n_dates,cand_logloss,cand_brier,cand_ece,cand_auc,market_logloss,market_brier,market_ece,market_auc,logloss_delta_vs_market,brier_delta_vs_market,advances,status
pts,C0_identity,339,25.0,0.8442884821284055,0.29638947413716527,0.18398568936419837,0.45485698300580457,0.6903125539639109,0.24858452199409342,0.033513259141470235,0.5484649276173159,0.15397592816449457,0.047804952143071844,False,EVALUATED
pts,C1_platt,339,25.0,0.6906900122718869,0.24877469250931128,0.0077840350899684085,0.5187425694104483,0.6903125539639109,0.24858452199409342,0.033513259141470235,0.5484649276173159,0.00037745830797597524,0.00019017051521785788,False,EVALUATED
pts,C2_beta,339,25.0,0.6912837698181075,0.2491190942550277,0.018719519334876263,0.5188824393314218,0.6903125539639109,0.24858452199409342,0.033513259141470235,0.5484649276173159,0.0009712158541965721,0.0005345722609342851,False,EVALUATED
pts,C3_isotonic,339,25.0,0.7734497774455221,0.2557588347876175,0.017329489427553333,0.44455906007413104,0.6903125539639109,0.24858452199409342,0.033513259141470235,0.5484649276173159,0.08313722348161123,0.007174312793524096,False,EVALUATED
pts,C4_blend,339,25.0,0.691034806223211,0.24894337111201992,0.030765094202952176,0.5376075250017485,0.6903125539639109,0.24858452199409342,0.033513259141470235,0.5484649276173159,0.0007222522593001157,0.0003588491179264963,False,EVALUATED
pts,C5_role_blend,339,25.0,0.6952383012723836,0.2509517848253091,0.030342880856107445,0.509773410728023,0.6903125539639109,0.24858452199409342,0.033513259141470235,0.5484649276173159,0.004925747308472728,0.0023672628312156885,False,EVALUATED
pts,C6_market_residual,339,25.0,0.68918058879878,0.24800565983635167,0.006667820979087639,0.5484299601370726,0.6903125539639109,0.24858452199409342,0.033513259141470235,0.5484649276173159,-0.0011319651651309215,-0.0005788621577417496,True,EVALUATED
reb,C0_identity,276,25.0,0.7912979129294673,0.2795294046745546,0.1622284916221553,0.545026455026455,0.679458148404181,0.24321435250833875,0.03546001653066346,0.5978835978835979,0.11183976452528632,0.03631505216621586,False,EVALUATED
reb,C1_platt,276,25.0,0.6899805527236715,0.24826721350058803,0.01425882373763954,0.5137037037037038,0.679458148404181,0.24321435250833875,0.03546001653066346,0.5978835978835979,0.010522404319490586,0.005052860992249275,False,EVALUATED
reb,C2_beta,276,25.0,0.6942607642661316,0.24982641021852114,0.0266411089339075,0.511005291005291,0.679458148404181,0.24321435250833875,0.03546001653066346,0.5978835978835979,0.014802615861950641,0.00661205771018239,False,EVALUATED
reb,C3_isotonic,276,25.0,0.7390862472366935,0.24945991559593758,0.023828842438459077,0.5085185185185185,0.679458148404181,0.24321435250833875,0.03546001653066346,0.5978835978835979,0.05962809883251252,0.006245563087598827,False,EVALUATED
reb,C4_blend,276,25.0,0.6783171315094407,0.24268871027377942,0.020899123304877892,0.587037037037037,0.679458148404181,0.24321435250833875,0.03546001653066346,0.5978835978835979,-0.001141016894740221,-0.000525642234559337,True,EVALUATED
reb,C5_role_blend,276,25.0,0.7057051682337413,0.2501522348033162,0.02931559902566967,0.5664285714285714,0.679458148404181,0.24321435250833875,0.03546001653066346,0.5978835978835979,0.026247019829560347,0.0069378822949774654,False,EVALUATED
reb,C6_market_residual,276,25.0,0.6784606347457617,0.2429144127889764,0.01694865216490324,0.5785714285714286,0.679458148404181,0.24321435250833875,0.03546001653066346,0.5978835978835979,-0.000997513658419269,-0.00029993971936234654,True,EVALUATED
ast,C0_identity,185,25.0,0.8277152998062373,0.2770142704878377,0.17172994471588826,0.5695426685525694,0.7002829845458294,0.253538106143811,0.06590823565411118,0.49681753889674685,0.12743231526040788,0.023476164344026718,False,EVALUATED
ast,C1_platt,185,25.0,0.710679610526796,0.2583136613100756,0.04738158182673665,0.3978076379066478,0.7002829845458294,0.253538106143811,0.06590823565411118,0.49681753889674685,0.010396625980966578,0.0047755551662646,False,EVALUATED
ast,C2_beta,185,25.0,0.7087015850432712,0.25528867728714816,0.07296867173596432,0.5278170674210279,0.7002829845458294,0.253538106143811,0.06590823565411118,0.49681753889674685,0.008418600497441808,0.001750571143337154,False,EVALUATED
ast,C3_isotonic,185,,,,,,0.7002829845458294,0.253538106143811,0.06590823565411118,0.49681753889674685,,,,SKIPPED_INSUFFICIENT_SUPPORT
ast,C4_blend,185,25.0,0.6933051951702991,0.24990710798902738,0.042106354702273106,0.5261669024045262,0.7002829845458294,0.253538106143811,0.06590823565411118,0.49681753889674685,-0.0069777893755302856,-0.0036309981547836268,True,EVALUATED
ast,C5_role_blend,185,25.0,0.6891775145455888,0.24842817810871817,0.05831127539645099,0.53995756718529,0.7002829845458294,0.253538106143811,0.06590823565411118,0.49681753889674685,-0.011105470000240536,-0.005109928035092831,True,EVALUATED
ast,C6_market_residual,185,25.0,0.7117636616502879,0.25887223749066246,0.04614373295137818,0.39203206034889204,0.7002829845458294,0.253538106143811,0.06590823565411118,0.49681753889674685,0.011480677104458548,0.005334131346851456,False,EVALUATED
fg3m,C0_identity,187,25.0,0.8037495191991347,0.26334824995914424,0.1655515482828413,0.569775678866588,0.6865358147103967,0.24673614621447576,0.09505231338825211,0.555608028335301,0.11721370448873802,0.016612103744668483,False,EVALUATED
fg3m,C1_platt,187,25.0,0.6857889529615202,0.24611171244223604,0.07415139329830761,0.46269185360094456,0.6865358147103967,0.24673614621447576,0.09505231338825211,0.555608028335301,-0.0007468617488765039,-0.0006244337722397242,True,EVALUATED
