n_settled,model_logloss,market_logloss,model_brier,market_brier,model_ece,market_ece,model_auc,market_auc,logloss_delta,brier_delta,auc_delta,prop,scope,n_dates,status
851,0.8005021338211863,0.6927388116476435,0.2838114463411886,0.24979274691539122,0.16212905570723757,0.01935129602409774,0.48593590935245434,0.5198485150267782,0.10776332217354279,0.03401869942579738,-0.03391260567432386,pts,primary_deterministic,55,EVALUATED
2924,0.807354972656488,0.6954073144974964,0.28499624031904114,0.2511278011416948,0.1646394208606087,0.03766488988417759,0.4876031741570402,0.48146331637576467,0.11194765815899166,0.03386843917734633,0.006139857781275515,pts,all_books_pooled_SENSITIVITY,55,EVALUATED
742,0.7721264234827216,0.682336628942035,0.2726482142971898,0.24463017203719595,0.14235297278624273,0.03506278049737647,0.5510389230318993,0.5865342405618964,0.0897897945406867,0.028018042259993825,-0.03549531752999713,reb,primary_deterministic,55,EVALUATED
2401,0.7798923776838089,0.6816086550295261,0.27444619260866077,0.24427221736798027,0.14588213484053614,0.038951167649612484,0.5375627225072184,0.5845502901353966,0.09828372265428287,0.030173975240680495,-0.04698756762817824,reb,all_books_pooled_SENSITIVITY,55,EVALUATED
522,0.7728265033303804,0.6919136835447349,0.2689995892768986,0.24939254841528347,0.1374657632807146,0.056108057634446096,0.5405023781212842,0.5344381688466112,0.08091281978564546,0.019607040861615133,0.006064209274672994,ast,primary_deterministic,55,EVALUATED
1462,0.775302586444023,0.6865127389063779,0.26700085404667306,0.24672858861548463,0.13305581598781463,0.05076462599887553,0.547246401071309,0.5539021365310283,0.08878984753764507,0.02027226543118843,-0.006655735459719314,ast,all_books_pooled_SENSITIVITY,55,EVALUATED
504,0.7619067448063898,0.6652977901408331,0.2612872904606633,0.2365087034496151,0.11706317470404026,0.049950945053654286,0.5675545183873822,0.6170193932566187,0.09660895466555663,0.02477858701104818,-0.04946487486923645,fg3m,primary_deterministic,55,EVALUATED
1632,0.7520616979764896,0.6637377621926571,0.2555724577819147,0.23562120513445664,0.10808244694430753,0.06366606303973454,0.5660821627682437,0.6129808141526769,0.08832393578383246,0.019951252647458034,-0.046898651384433165,fg3m,all_books_pooled_SENSITIVITY,55,EVALUATED
0,,,,,,,,,,,,stl,primary_deterministic,0,NO_EXACT_QUOTES
0,,,,,,,,,,,,stl,all_books_pooled_SENSITIVITY,0,NO_EXACT_QUOTES
0,,,,,,,,,,,,blk,primary_deterministic,0,NO_EXACT_QUOTES
0,,,,,,,,,,,,blk,all_books_pooled_SENSITIVITY,0,NO_EXACT_QUOTES
0,,,,,,,,,,,,turnover,primary_deterministic,0,NO_EXACT_QUOTES
0,,,,,,,,,,,,turnover,all_books_pooled_SENSITIVITY,0,NO_EXACT_QUOTES
