prop,has_advancing_candidate,best_candidate,best_logloss_delta_vs_market,best_brier_delta_vs_market,distance_from_passing
ast,True,C4_blend,-0.004750801845611052,-0.002341688776559603,0.0
reb,True,C6_market_residual,-0.0019682258076734183,-0.0008998864273468132,0.0
fg3m,False,C4_blend,0.0009635193695225475,0.0004666165644051645,0.001430135933927712
pts,False,C3_isotonic,0.0014388778504790256,0.0006682369701160595,0.002107114820595085
