game_id,player_id,player_name,stat,book,market_key,period,line,raw_over_odds,raw_under_odds,no_vig_market_prob_over,no_vig_market_prob_under,p_over_win,p_under_win,p_push,p_over_settled,p_under_settled,frozen_model_probability_over,delivered_model_prob_over_final,reproduces_delivered_model_price,model_minus_market_over,pmf_hash,registry_pmf_hash,quote_hash,prediction_timestamp,quote_timestamp,pmf_column_used,audit_label
24969,726,Kamilla Cardoso,pts_reb_ast,betonlineag,player_points_rebounds_assists,game,25.5,-105.0,-123.0,0.48149290561381863,0.5185070943861814,0.22096946,0.77903055,0.0,0.22096945779030544,0.7790305422096946,0.22096945779030544,0.22096945779030544,True,-0.2605234478235132,d76f9d3e1877f4a9648739afd5b4a7ffd6749d16e316bb81e0dada241a29697b,d76f9d3e1877f4a9648739afd5b4a7ffd6749d16e316bb81e0dada241a29697b,497d09e751e7c8320e63181471191b041df4cb0d520ca47208aaeba251a1b6bb,20260801T162447Z,2026-08-01T16:26:41Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24970,462,Kahleah Copper,pts,betonlineag,player_points,game,22.5,-105.0,-123.0,0.48149290561381863,0.5185070943861814,0.26251521,0.73748479,0.0,0.26251521,0.73748479,0.26251521,0.26251521,True,-0.21897769561381863,2a6497958965e570e46d49de0f5545eaf3af68341ab99cce9660a6009b6c9dd5,2a6497958965e570e46d49de0f5545eaf3af68341ab99cce9660a6009b6c9dd5,c07a147b46213e271eb49ac1b273f515b944d6943e665282d7fbd6b122ed276a,20260801T162447Z,2026-08-01T16:26:51Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,409,Elizabeth Williams,pts_reb,draftkings,player_points_rebounds,game,11.5,-105.0,-130.0,0.47539370078740156,0.5246062992125985,0.22033143,0.77966859,0.0,0.22033142559337152,0.7796685744066286,0.22033142559337152,0.22033142559337152,True,-0.25506227519403,190b28ebe7ad27a3742e1fc87d0a446113670b5078dcbed70a38774f672aa724,190b28ebe7ad27a3742e1fc87d0a446113670b5078dcbed70a38774f672aa724,67265b847cba7b7071406cb07f56c68298e4819f63d1ef261affcd25c5f8b945,20260801T162447Z,2026-08-01T16:26:33Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24970,462,Kahleah Copper,pts_reb,draftkings,player_points_rebounds,game,26.5,-106.0,-128.0,0.47823333861009976,0.5217666613899002,0.18304061,0.81695939,0.0,0.18304061,0.81695939,0.18304061,0.18304060999999996,True,-0.29519272861009976,2a6497958965e570e46d49de0f5545eaf3af68341ab99cce9660a6009b6c9dd5,2a6497958965e570e46d49de0f5545eaf3af68341ab99cce9660a6009b6c9dd5,07b6d9249528f69892f1c29e395a8c49d2d9ce2d98b3100e3650505b73571d73,20260801T162447Z,2026-08-01T16:26:45Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,726,Kamilla Cardoso,pts_reb,draftkings,player_points_rebounds,game,23.5,-106.0,-129.0,0.4773835745752045,0.5226164254247954,0.25909469,0.74090532,0.0,0.25909468740905317,0.7409053125909469,0.25909468740905317,0.25909468740905317,True,-0.2182888871661513,d76f9d3e1877f4a9648739afd5b4a7ffd6749d16e316bb81e0dada241a29697b,d76f9d3e1877f4a9648739afd5b4a7ffd6749d16e316bb81e0dada241a29697b,de34c85e5be80b6ee6bc08a5d1895fce1c3bccc28d1c0fe2071469b2d77688a8,20260801T162447Z,2026-08-01T16:26:33Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,408,Natasha Cloud,pts_reb_ast,betonlineag,player_points_rebounds_assists,game,18.5,-106.0,-122.0,0.483560743054414,0.516439256945586,0.16993895,0.83006106,0.0,0.16993894830061054,0.8300610516993896,0.16993894830061054,0.16993894830061052,True,-0.3136217947538035,e59e863ec0857360eb35453101af2e94d6d07b5083a788135f31c61dace601b1,e59e863ec0857360eb35453101af2e94d6d07b5083a788135f31c61dace601b1,64a2f80fe6c0839cb67ea4e6d3aaf80f83d4d8d01ad661ea9cc116d064d85e53,20260801T162447Z,2026-08-01T16:26:41Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,535,A'ja Wilson,pts_reb_ast,fanduel,player_points_rebounds_assists,game,41.5,-106.0,-125.0,0.4808467741935484,0.5191532258064516,0.20416013,0.79583986,0.0,0.20416013204160133,0.7958398679583987,0.20416013204160133,0.2041601320416013,True,-0.27668664215194705,44d06b61ff09a7b8620f399c65e051bde85d56d6221c2ab5599708b588828dcc,44d06b61ff09a7b8620f399c65e051bde85d56d6221c2ab5599708b588828dcc,8a379fadc3b0b91504adeaf176caad07b09b705ca8368318ff3054dbe608e4a2,20260801T162447Z,2026-08-01T16:26:04Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,570,Jackie Young,pts,pinnacle,player_points,game,19.5,-107.0,-113.0,0.4935039625828245,0.5064960374171755,0.58230229,0.41769772,0.0,0.5823022841769772,0.41769771582302284,0.5823022841769772,,False,0.08879832159415268,5e3d962ea67f64ed31334f54d9dc28904852b7b90cd162d5fcddf1f9eb04ee40,5e3d962ea67f64ed31334f54d9dc28904852b7b90cd162d5fcddf1f9eb04ee40,b58eb394c910509a3df3e8e4f3ab369726c6774310bbcb9ff2f965e1ab4ada57,20260801T162447Z,2026-08-01T16:26:02Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,285,Courtney Vandersloot,pts_ast,draftkings,player_points_assists,game,13.5,-107.0,-127.0,0.4802285578710111,0.519771442128989,0.16606024,0.83393976,0.0,0.16606024,0.83393976,0.16606024,0.16606024000000003,True,-0.31416831787101107,588d86a517fc1fc3eb627436720532a48db2f056965bdc92eb87ea21b9dcb9f7,588d86a517fc1fc3eb627436720532a48db2f056965bdc92eb87ea21b9dcb9f7,6f66918cab95efa9ef98b76c3b875b0043426759b41a9202085890f6ef614b2d,20260801T162447Z,2026-08-01T16:26:33Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
24969,570,Jackie Young,ast,pinnacle,player_assists,game,6.5,-107.0,-113.0,0.4935039625828245,0.5064960374171755,0.6490429805920015,0.3509570194079984,0.0,0.6490429805920016,0.35095701940799845,0.6490429805920016,,False,0.15553901800917713,bba80f123f8c07eda1d6c12602914b3893cdbee273e5ff19ad2b1f6490244459,bba80f123f8c07eda1d6c12602914b3893cdbee273e5ff19ad2b1f6490244459,7bf26e81c6bead0d9b1353f18f53dfea12b028477c6796eece7c8b2943432c54,20260801T162447Z,2026-08-01T16:26:02Z,active_pmf_json,MODEL_MARKET_TRACE_ONLY_NOT_EV
