rank,game,scheduled_tip,player,team,opponent,stat,line,side,sportsbook,american_odds,decimal_odds,pure_probability,reference_probability,production_probability,pick_probability,break_even_probability,p_win,p_lose,p_push,raw_probability_edge,shrunken_probability_edge,raw_expected_value,conservative_expected_value,reliability_weight,uncertainty,quote_age,availability_status,selection_status,reason,model_hash,calibrator_hash,feature_hash,data_hash,quote_hash,availability_hash,weights_hash,board_label
1,NY@PHX,2026-08-01T19:00:00Z,Pauline Astier,NY,LV,ast,2.5,under,betonlineag,120.0,2.2,0.6623118230587747,,0.5688908622182756,0.6623118230587747,0.45454545454545453,0.6623118230587747,0.33768817694122527,0.0,0.20776636851332014,0.20776636851332014,0.4570860107293045,0.40165550811388573,0.359375,0.24231042387371027,0.0,UNKNOWN,PROVISIONAL_MODEL_PICK,positive_conservative_ev_provisional,frozen_aug1_local_stage,frozen_aug1_local_stage,,,,,691b8a9b507cfa6e411c21c2492352f015fa105e5af0dbc2e249ced27a128bea,RETROSPECTIVE_PICK_ENGINE_REPLAY
2,NY@PHX,2026-08-01T19:00:00Z,Pauline Astier,NY,LV,ast,2.5,under,fanduel,118.0,2.1799999999999997,0.6623118230587747,,0.5688908622182756,0.6623118230587747,0.4587155963302753,0.6623118230587747,0.33768817694122527,0.0,0.20359622672849936,0.20359622672849936,0.44383977426812865,0.38891318531285013,0.359375,0.24231042387371027,0.0,UNKNOWN,PROVISIONAL_MODEL_PICK,positive_conservative_ev_provisional,frozen_aug1_local_stage,frozen_aug1_local_stage,,,,,691b8a9b507cfa6e411c21c2492352f015fa105e5af0dbc2e249ced27a128bea,RETROSPECTIVE_PICK_ENGINE_REPLAY
3,NY@PHX,2026-08-01T19:00:00Z,Monique Akoa Makani,PHX,GS,pts,8.5,under,fanduel,100.0,2.0,0.7468285298731411,,0.7313493954895453,0.7468285298731411,0.5,0.7468285298731411,0.25317147012685876,0.0,0.24682852987314108,0.24682852987314108,0.4936570597462823,0.37396321823737244,0.2,0.3030794332467033,0.0,UNKNOWN,PROVISIONAL_MODEL_PICK,positive_conservative_ev_provisional,frozen_aug1_local_stage,frozen_aug1_local_stage,,,,,691b8a9b507cfa6e411c21c2492352f015fa105e5af0dbc2e249ced27a128bea,RETROSPECTIVE_PICK_ENGINE_REPLAY
4,NY@PHX,2026-08-01T19:00:00Z,Monique Akoa Makani,PHX,GS,pts,8.5,under,betonlineag,-104.0,1.9615384615384617,0.7468285298731411,,0.7313493954895453,0.7468285298731411,0.5098039215686274,0.7468285298731411,0.25317147012685876,0.0,0.23702460830451366,0.23702460830451366,0.4649328855203924,0.34754084865588464,0.2,0.3030794332467033,0.0,UNKNOWN,PROVISIONAL_MODEL_PICK,positive_conservative_ev_provisional,frozen_aug1_local_stage,frozen_aug1_local_stage,,,,,691b8a9b507cfa6e411c21c2492352f015fa105e5af0dbc2e249ced27a128bea,RETROSPECTIVE_PICK_ENGINE_REPLAY
5,NY@PHX,2026-08-01T19:00:00Z,Kahleah Copper,PHX,GS,pts,20.5,under,betparx,102.0,2.02,0.7079965900000001,,0.7667519016250774,0.7079965900000001,0.49504950495049505,0.7079965900000001,0.29200340999999996,0.0,0.2129470850495051,0.2129470850495051,0.43015311180000015,0.27130252857447046,0.0,0.3780778453478293,0.0,UNKNOWN,DAILY_RANKED_SELECTION,ranked_model_opinion,frozen_aug1_local_stage,frozen_aug1_local_stage,,,,,691b8a9b507cfa6e411c21c2492352f015fa105e5af0dbc2e249ced27a128bea,RETROSPECTIVE_PICK_ENGINE_REPLAY
6,LV@CHI,2026-08-01T17:00:00Z,Elizabeth Williams,CHI,CON,reb,3.5,under,fanduel,118.0,2.1799999999999997,0.61131109,,0.626572,0.61131109,0.4587155963302753,0.61131109,0.38868891000000005,0.0,0.15259549366972464,0.15259549366972464,0.3326581761999997,0.26883851496026623,0.16625,0.3154450512484589,0.0,UNKNOWN,PROVISIONAL_MODEL_PICK,positive_conservative_ev_provisional,frozen_aug1_local_stage,frozen_aug1_local_stage,,,,,691b8a9b507cfa6e411c21c2492352f015fa105e5af0dbc2e249ced27a128bea,RETROSPECTIVE_PICK_ENGINE_REPLAY
7,LV@CHI,2026-08-01T17:00:00Z,Elizabeth Williams,CHI,CON,pts,6.5,under,betonlineag,-104.0,1.9615384615384617,0.7042322759153546,,0.6575453150906302,0.7042322759153546,0.5098039215686274,0.7042322759153546,0.29576772408464563,0.0,0.19442835434672723,0.19442835434672723,0.38137869506473393,0.23862164100528227,0.029375000000000002,0.3671342476582257,0.0,UNKNOWN,PROVISIONAL_MODEL_PICK,positive_conservative_ev_provisional,frozen_aug1_local_stage,frozen_aug1_local_stage,,,,,691b8a9b507cfa6e411c21c2492352f015fa105e5af0dbc2e249ced27a128bea,RETROSPECTIVE_PICK_ENGINE_REPLAY
8,LV@CHI,2026-08-01T17:00:00Z,Elizabeth Williams,CHI,CON,reb,3.5,under,betonlineag,112.0,2.12,0.61131109,,0.626572,0.61131109,0.4716981132075471,0.61131109,0.38868891000000005,0.0,0.13961297679245283,0.13961297679245283,0.29597951079999996,0.2339163539980572,0.16625,0.3154450512484589,0.0,UNKNOWN,PROVISIONAL_MODEL_PICK,positive_conservative_ev_provisional,frozen_aug1_local_stage,frozen_aug1_local_stage,,,,,691b8a9b507cfa6e411c21c2492352f015fa105e5af0dbc2e249ced27a128bea,RETROSPECTIVE_PICK_ENGINE_REPLAY
9,LV@CHI,2026-08-01T17:00:00Z,Elizabeth Williams,CHI,CON,pts,6.5,under,draftkings,-107.0,1.9345794392523366,0.7042322759153546,,0.6575453150906302,0.7042322759153546,0.5169082125603864,0.7042322759153546,0.29576772408464563,0.0,0.1873240633549682,0.1873240633549682,0.36239328144372324,0.2215982539656275,0.029375000000000002,0.3671342476582257,0.0,UNKNOWN,PROVISIONAL_MODEL_PICK,positive_conservative_ev_provisional,frozen_aug1_local_stage,frozen_aug1_local_stage,,,,,691b8a9b507cfa6e411c21c2492352f015fa105e5af0dbc2e249ced27a128bea,RETROSPECTIVE_PICK_ENGINE_REPLAY
10,LV@CHI,2026-08-01T17:00:00Z,Jewell Loyd,LV,NY,reb,2.5,under,fanduel,-104.0,1.9615384615384617,0.651847403036948,,0.6211404845619382,0.651847403036948,0.5098039215686274,0.651847403036948,0.34815259696305195,0.0,0.14204348146832058,0.14204348146832058,0.27862375211093654,0.19725207194521321,0.15000000000000002,0.32140317359976395,0.0,UNKNOWN,PROVISIONAL_MODEL_PICK,positive_conservative_ev_provisional,frozen_aug1_local_stage,frozen_aug1_local_stage,,,,,691b8a9b507cfa6e411c21c2492352f015fa105e5af0dbc2e249ced27a128bea,RETROSPECTIVE_PICK_ENGINE_REPLAY
