a_id,candidate,status,logloss_delta,brier_delta,cand_auc,market_auc,auc_delta,cand_ece,cal_slope,monotone_deployable,worst_fold_logloss_delta,proper_score_selection_eligible,strict_auc_selection_eligible
A1,C1_platt,EVALUATED,0.0052248962707978075,0.002545293106731711,0.5462547508445945,0.5911568306587838,-0.044902079814189255,0.027440891533300243,0.7921559901642024,True,0.03543316167058508,False,False
A2,C4_blend,EVALUATED,-0.0015877687787697603,-0.0007098181901469269,0.5813450168918919,0.5911568306587838,-0.009811813766891886,0.01475702612190002,1.2306608155119438,True,0.018181190913598155,True,False
A3,C5_role_blend,EVALUATED,-0.003442224651234227,-0.0016601874290442242,0.5992068728885135,0.5911568306587838,0.008050042229729715,0.022418176331872423,0.9980017612300164,True,0.061551105402469886,False,False
A0,market_identity,BASELINE,,,,,,,,,,,
A4,regularized_feature_residual,BLOCKED_NO_FEATURE_MATRIX,,,,,,,,,,,
