fold,stat,family,rows,nll,crps,mean_mae,pit_ks,dispersion_by_band,n_features,feature_hash
v4_dev_2024_h2,fg3m,direct_nb2_exacttail,2650,1.0679347266930315,0.45158078501074866,0.7247191653638572,0.053630903184521406,"{'__global__': 74.99, '0': 1.44, '1': 8.37, '2': 74.99, '3': 74.99}",73,47512bb66b58c50f
v4_dev_2024_h2,stl,direct_nb2_exacttail,2650,1.14386500636022,0.45927873425037224,0.7366148229579017,0.03305060465269599,"{'__global__': None, '0': 4.45, '1': 10.68, '2': None, '3': None}",70,920c6f532e283133
v4_dev_2024_h2,blk,direct_nb2_exacttail,2650,0.7962505399895908,0.2932212819489869,0.4957834384994166,0.022114750185194043,"{'__global__': None, '0': 1.8, '1': None, '2': None, '3': None}",68,a80a23b12e0b5463
v4_dev_2024_h2,turnover,direct_nb2_exacttail,2650,1.4387441327703125,0.6243327198620694,0.9460795692925754,0.02611898691788181,"{'__global__': None, '0': 7.49, '1': None, '2': None, '3': None}",67,0eb3b6b9a687b3ed
v4_dev_2025_h1,pts,direct_nb2_exacttail,2058,2.976509985869063,2.9964701959366318,4.290261860781427,0.084765708154554,"{'__global__': 6.82, '0': 1.5, '1': 3.25, '2': 7.18, '3': 13.93}",77,afb4dd07c1d94070
v4_dev_2025_h1,reb,direct_nb2_exacttail,2058,2.1251030997788374,1.2744188476315568,1.829426005332101,0.031009463668905918,"{'__global__': 16.43, '0': 2.92, '1': 7.59, '2': 31.29, '3': 79.98}",71,666ac1e7d92fc87d
v4_dev_2025_h1,ast,direct_nb2_exacttail,2058,1.6513978468510637,0.8126308832728809,1.208514058571438,0.024731553764377745,"{'__global__': 44.14, '0': 2.38, '1': 10.01, '2': 107.96, '3': 44.14}",71,73ad4f27f820207a
v4_dev_2025_h1,fg3m,direct_nb2_exacttail,2058,1.1288780040842872,0.4822712784907695,0.7669662595488271,0.029902515485311698,"{'__global__': 22.97, '0': 1.22, '1': 4.82, '2': 273.02, '3': 22.97}",73,47512bb66b58c50f
v4_dev_2025_h1,stl,direct_nb2_exacttail,2058,1.160715396521239,0.4651497368777104,0.7361045851453617,0.014137378094442488,"{'__global__': 55.98, '0': 3.21, '1': 6.43, '2': 41.96, '3': 55.98}",70,920c6f532e283133
v4_dev_2025_h1,blk,direct_nb2_exacttail,2058,0.7804646643064764,0.28662267249982226,0.5080771790160151,0.03940081621568414,"{'__global__': None, '0': 1.77, '1': 78.58, '2': None, '3': None}",68,a80a23b12e0b5463
v4_dev_2025_h1,turnover,direct_nb2_exacttail,2058,1.5083889911509747,0.6751286628941733,1.0069285998398894,0.028336990977796073,"{'__global__': None, '0': 5.42, '1': 133.72, '2': None, '3': None}",67,0eb3b6b9a687b3ed
v4_dev_2025_h2,pts,direct_nb2_exacttail,3811,2.920524712136332,2.8640392245353468,4.113503757993383,0.05451766787884507,"{'__global__': 5.75, '0': 1.41, '1': 2.98, '2': 6.29, '3': 10.58}",77,afb4dd07c1d94070
v4_dev_2025_h2,reb,direct_nb2_exacttail,3811,2.0712232648248383,1.2175802464726508,1.7663592275912678,0.024215019030874085,"{'__global__': 11.79, '0': 2.74, '1': 6.24, '2': 19.85, '3': 32.25}",71,666ac1e7d92fc87d
v4_dev_2025_h2,ast,direct_nb2_exacttail,3811,1.6553198807394582,0.8223889190587916,1.2195499301824633,0.013201601011614827,"{'__global__': 20.13, '0': 2.29, '1': 7.09, '2': 29.02, '3': 79.2}",71,73ad4f27f820207a
v4_dev_2025_h2,fg3m,direct_nb2_exacttail,3811,1.1104629435455293,0.47139697138718617,0.7471968358689736,0.017235226100812656,"{'__global__': 7.69, '0': 1.17, '1': 3.34, '2': 11.7, '3': 23.43}",73,47512bb66b58c50f
v4_dev_2025_h2,stl,direct_nb2_exacttail,3811,1.1244220348882237,0.44702224248738925,0.7208630189128893,0.014399423727517235,"{'__global__': 9.38, '0': 3.58, '1': 5.47, '2': 8.52, '3': 28.15}",70,920c6f532e283133
v4_dev_2025_h2,blk,direct_nb2_exacttail,3811,0.755575032198511,0.27470806828034483,0.4850043066243273,0.017181955633766566,"{'__global__': 7.61, '0': 1.49, '1': 7.95, '2': 8.94, '3': 12.95}",68,a80a23b12e0b5463
v4_dev_2025_h2,turnover,direct_nb2_exacttail,3811,1.4145700778932013,0.6094092125509631,0.9295092027310374,0.026248464649984315,"{'__global__': 48.73, '0': 4.78, '1': 19.55, '2': 48.73, '3': 48.73}",67,0eb3b6b9a687b3ed
