stat,fold,family,nll,crps,pit_ks
ast,v4_dev_2024_h2,direct_nb2_exacttail,1.6891590801063676,0.8380781620103441,0.020143136285430074
blk,v4_dev_2024_h1,direct_nb2_exacttail,0.8209119444233187,0.2975251764377658,0.03312841925671384
fg3m,v4_dev_2025_h1,direct_nb2_exacttail,1.1288780040842872,0.4822712784907695,0.029902515485311698
pts,v4_dev_2025_h1,direct_nb2_exacttail,2.976509985869063,2.9964701959366318,0.084765708154554
reb,v4_dev_2025_h1,direct_nb2_exacttail,2.1251030997788374,1.2744188476315568,0.031009463668905918
stl,v4_dev_2024_h1,direct_nb2_exacttail,1.172047069455779,0.4743656462868366,0.022833361241499373
turnover,v4_dev_2025_h1,direct_nb2_exacttail,1.5083889911509747,0.6751286628941733,0.028336990977796073
