stat,v4_nll,v4_crps,v4_family,v3_nll,v3_crps,nll_delta_v4_minus_v3
ast,1.6685871817722515,0.8262302609843709,direct_nb2_exacttail,1.6761826305351732,0.8257084377898585,-0.0075954487629217304
blk,0.7883005452294742,0.28801929979172997,direct_nb2_exacttail,0.789512863119898,0.2892150263012916,-0.001212317890423753
fg3m,1.0926774464279467,0.4647198387361221,direct_nb2_exacttail,1.1102002961869788,0.4706867055602515,-0.017522849759032066
pts,2.9446109817140513,2.924093488741767,direct_nb2_exacttail,3.067110896598445,2.9658038638979582,-0.12249991488439349
reb,2.0898355297109146,1.242888093977818,direct_nb2_exacttail,2.1131655314127773,1.248305178312246,-0.023330001701862724
stl,1.1502623768063653,0.46145408997557713,direct_nb2_exacttail,1.1571179066597874,0.4638670912545576,-0.006855529853422082
turnover,1.4611779840284573,0.6428787925478979,direct_nb2_exacttail,1.459416020702934,0.6407451596337077,0.0017619633255232525
