stat,count,max_truncated_tail_mass,max_adaptive_tail_mass,max_hard_cap_tail_mass,max_truncation_mean_error,max_roundtrip_mean_error,p_over_roundtrip_max_error
pts_ast,2,4.127631569872392e-11,4.1276215368555186e-11,4.1276215368555186e-11,1.0922001081326016e-09,0.0,0.0
pts_reb,2,4.456457425305871e-11,4.456447486047407e-11,4.456447486047407e-11,1.3358345540837036e-09,0.0,0.0
pts_reb_ast,2,7.377853883383523e-11,7.377855425543682e-11,7.377855425543682e-11,2.5539144132835645e-09,3.552713678800501e-15,1.1102230246251565e-16
reb_ast,2,6.596334589659136e-11,6.596322618212069e-11,6.596322618212069e-11,1.77206338491942e-09,0.0,1.1102230246251565e-16
stocks,2,2.5598301256479772e-11,2.5598164015788097e-11,2.5598164015788097e-11,4.1001735340273626e-10,0.0,0.0
